AG47ct  -02f rot.
    1.000000      0.3464997E-03
   0.9968677      0.5665040E-03
   0.9923452      0.8846938E-03
   0.9868956      0.1267173E-02
   0.9810572      0.1670762E-02
   0.9750777      0.2074928E-02
   0.9689276      0.2485964E-02
   0.9626646      0.2904579E-02
   0.9563830      0.3323142E-02
   0.9501098      0.3737284E-02
   0.9438285      0.4148253E-02
   0.9375360      0.4557490E-02
   0.9312440      0.4964110E-02
   0.9249596      0.5366526E-02
   0.9186810      0.5763927E-02
   0.9124025      0.6156057E-02
   0.9061171      0.6543504E-02
   0.8998229      0.6928165E-02
   0.8935270      0.7311000E-02
   0.8872375      0.7690497E-02
   0.8809568      0.8065018E-02
   0.8746812      0.8433781E-02
   0.8684017      0.8796674E-02
   0.8621098      0.9155731E-02
   0.8558091      0.9513772E-02
   0.8495138      0.9870440E-02
   0.8432294      0.1022276E-01
   0.8369485      0.1056948E-01
   0.8306630      0.1091159E-01
   0.8243713      0.1124997E-01
   0.8180764      0.1158512E-01
   0.8117828      0.1191727E-01
   0.8054933      0.1224569E-01
   0.7992040      0.1256972E-01
   0.7929090      0.1289020E-01
   0.7866103      0.1320833E-01
   0.7803163      0.1352360E-01
   0.7740286      0.1383437E-01
   0.7677403      0.1414033E-01
   0.7614466      0.1444265E-01
   0.7551503      0.1474202E-01
   0.7488551      0.1503839E-01
   0.7425613      0.1533172E-01
   0.7362724      0.1562166E-01
   0.7300033      0.1590713E-01
   0.7237741      0.1618536E-01
   0.7176007      0.1645354E-01
   0.7115356      0.1671654E-01
   0.7057557      0.1697565E-01
   0.7004751      0.1721333E-01
   0.6949992      0.1764712E-01
   0.6890294      0.1809654E-01
   0.6828571      0.1856404E-01
   0.6766489      0.1903202E-01
   0.6704179      0.1949701E-01
   0.6641572      0.1995929E-01
   0.6578784      0.2041820E-01
   0.6515956      0.2087346E-01
   0.6453159      0.2132499E-01
   0.6390394      0.2177198E-01
   0.6327605      0.2221412E-01
   0.6264755      0.2265241E-01
   0.6201911      0.2308745E-01
   0.6139166      0.2351758E-01
   0.6076432      0.2394173E-01
   0.6013693      0.2436340E-01
   0.5950952      0.2477809E-01
   0.5888096      0.2518904E-01
   0.5825262      0.2559593E-01
   0.5762488      0.2599775E-01
