Smoothed ATR airfoil coordinates obtained  using
    1.000000      0.1245138E-18
   0.9960449      0.6050576E-03
   0.9912402      0.1349350E-02
   0.9861553      0.2148127E-02
   0.9807741      0.3005842E-02
   0.9750878      0.3926071E-02
   0.9690994      0.4910632E-02
   0.9628294      0.5958591E-02
   0.9563146      0.7066895E-02
   0.9495962      0.8231856E-02
   0.9427104      0.9450504E-02
   0.9356792      0.1072190E-01
   0.9285110      0.1204456E-01
   0.9212144      0.1341523E-01
   0.9138010      0.1482960E-01
   0.9062855      0.1628243E-01
   0.8986841      0.1776827E-01
   0.8910119      0.1928160E-01
   0.8832827      0.2081693E-01
   0.8755083      0.2236865E-01
   0.8676996      0.2393055E-01
   0.8598677      0.2549616E-01
   0.8520240      0.2705919E-01
   0.8441791      0.2861515E-01
   0.8363417      0.3016053E-01
   0.8285179      0.3169235E-01
   0.8207114      0.3320787E-01
   0.8129224      0.3470441E-01
   0.8051469      0.3618001E-01
   0.7973773      0.3763392E-01
   0.7896058      0.3906779E-01
   0.7818270      0.4048342E-01
   0.7740379      0.4188207E-01
   0.7662375      0.4326462E-01
   0.7584255      0.4463189E-01
   0.7506007      0.4598478E-01
   0.7427612      0.4732444E-01
   0.7349060      0.4865226E-01
   0.7270356      0.4996944E-01
   0.7191522      0.5127690E-01
   0.7112596      0.5257485E-01
   0.7033614      0.5386305E-01
   0.6954609      0.5514129E-01
   0.6875612      0.5640924E-01
   0.6796655      0.5766589E-01
   0.6717785      0.5890993E-01
   0.6639056      0.6013969E-01
   0.6560499      0.6135200E-01
   0.6482078      0.6254387E-01
   0.6403693      0.6371437E-01
   0.6325238      0.6486592E-01
   0.6246637      0.6600095E-01
   0.6167853      0.6712139E-01
   0.6088871      0.6822904E-01
   0.6009685      0.6932573E-01
   0.5930297      0.7041321E-01
   0.5850714      0.7149325E-01
   0.5770960      0.7256755E-01
   0.5691074      0.7363758E-01
   0.5611125      0.7470417E-01
   0.5531235      0.7576732E-01
   0.5451559      0.7682428E-01
   0.5372196      0.7786979E-01
   0.5293159      0.7889972E-01
   0.5214426      0.7991201E-01
   0.5136013      0.8090490E-01
   0.5057972      0.8187525E-01
   0.4980318      0.8281925E-01
   0.4903010      0.8373377E-01
   0.4825958      0.8461660E-01
   0.4749045      0.8546797E-01
   0.4672172      0.8628910E-01
   0.4595258      0.8708089E-01
   0.4518245      0.8784403E-01
   0.4441088      0.8857996E-01
   0.4363742      0.8929047E-01
   0.4286161      0.8997733E-01
   0.4208303      0.9064272E-01
   0.4130148      0.9128941E-01
   0.4051713      0.9192000E-01
   0.3973048      0.9253655E-01
   0.3894218      0.9313965E-01
   0.3815281      0.9372963E-01
   0.3736282      0.9430678E-01
   0.3657266      0.9487070E-01
   0.3578282      0.9542075E-01
   0.3499392      0.9595628E-01
   0.3420661      0.9647662E-01
   0.3342163      0.9698106E-01
   0.3263978      0.9746780E-01
   0.3186177      0.9793398E-01
   0.3108829      0.9837687E-01
   0.3031994      0.9879393E-01
   0.2955728      0.9918284E-01
   0.2880077      0.9954122E-01
   0.2805088      0.9986562E-01
   0.2730805      0.1001525    
   0.2657273      0.1003985    
   0.2584536      0.1006008    
   0.2512635      0.1007569    
   0.2441611      0.1008635    
   0.2371498      0.1009168    
   0.2302314      0.1009133    
   0.2234071      0.1008499    
   0.2166767      0.1007241    
   0.2100394      0.1005334    
   0.2034941      0.1002755    
   0.1970400      0.9994810E-01
   0.1906759      0.9954911E-01
   0.1844012      0.9907679E-01
   0.1782154      0.9852960E-01
   0.1721181      0.9790622E-01
   0.1661083      0.9720545E-01
   0.1601849      0.9642625E-01
   0.1543465      0.9556770E-01
   0.1485923      0.9462944E-01
   0.1429225      0.9361166E-01
   0.1373381      0.9251479E-01
   0.1318409      0.9133960E-01
   0.1264329      0.9008719E-01
   0.1211169      0.8875922E-01
   0.1158952      0.8735767E-01
   0.1107703      0.8588469E-01
   0.1057439      0.8434256E-01
   0.1008186      0.8273394E-01
   0.9599887E-01  0.8106256E-01
   0.9129169E-01  0.7933340E-01
   0.8670531E-01  0.7755263E-01
   0.8224848E-01  0.7572739E-01
   0.7792957E-01  0.7386536E-01
   0.7375470E-01  0.7197319E-01
   0.6972624E-01  0.7005633E-01
   0.6584346E-01  0.6811918E-01
   0.6210340E-01  0.6616523E-01
   0.5850166E-01  0.6419720E-01
   0.5503558E-01  0.6221793E-01
   0.5170632E-01  0.6023214E-01
   0.4851711E-01  0.5824627E-01
   0.4547159E-01  0.5626779E-01
   0.4257272E-01  0.5430450E-01
   0.3982199E-01  0.5236393E-01
   0.3721904E-01  0.5045285E-01
   0.3476161E-01  0.4857696E-01
   0.3244565E-01  0.4674070E-01
   0.3026497E-01  0.4494637E-01
   0.2821087E-01  0.4319363E-01
   0.2627342E-01  0.4148053E-01
   0.2444268E-01  0.3980427E-01
   0.2271071E-01  0.3816223E-01
   0.2107196E-01  0.3655294E-01
   0.1952195E-01  0.3497580E-01
   0.1805680E-01  0.3343071E-01
   0.1667291E-01  0.3191782E-01
   0.1536685E-01  0.3043739E-01
   0.1413521E-01  0.2898962E-01
   0.1297456E-01  0.2757463E-01
   0.1188149E-01  0.2619239E-01
   0.1085257E-01  0.2484270E-01
   0.9884403E-02  0.2352522E-01
   0.8973655E-02  0.2223946E-01
   0.8117609E-02  0.2098452E-01
   0.7314267E-02  0.1975880E-01
   0.6561418E-02  0.1856043E-01
   0.5856709E-02  0.1738744E-01
   0.5197779E-02  0.1623785E-01
   0.4582326E-02  0.1510974E-01
   0.4008253E-02  0.1400127E-01
   0.3474445E-02  0.1291107E-01
   0.2980345E-02  0.1183833E-01
   0.2525444E-02  0.1078264E-01
   0.2109202E-02  0.9743816E-02
   0.1731008E-02  0.8721902E-02
   0.1390148E-02  0.7717033E-02
   0.1085797E-02  0.6729405E-02
   0.8170478E-03  0.5759246E-02
   0.5842080E-03  0.4807008E-02
   0.3888129E-03  0.3872711E-02
   0.2319889E-03  0.2955339E-02
   0.1146393E-03  0.2053126E-02
   0.3769232E-04  0.1163771E-02
   0.2305253E-05  0.2845650E-03
   0.1003185E-04 -0.5875621E-03
   0.6153863E-04 -0.1455563E-02
   0.1556865E-03 -0.2321519E-02
   0.2917849E-03 -0.3187055E-02
   0.4697368E-03 -0.4053471E-02
   0.6899673E-03 -0.4921766E-02
   0.9533794E-03 -0.5792648E-02
   0.1261325E-02 -0.6666513E-02
   0.1615583E-02 -0.7543394E-02
   0.2018337E-02 -0.8422886E-02
   0.2472141E-02 -0.9304028E-02
   0.2979850E-02 -0.1018514E-01
   0.3544513E-02 -0.1106362E-01
   0.4169162E-02 -0.1193566E-01
   0.4856480E-02 -0.1279606E-01
   0.5607998E-02 -0.1364109E-01
   0.6424183E-02 -0.1446961E-01
   0.7304993E-02 -0.1528092E-01
   0.8249903E-02 -0.1607469E-01
   0.9257942E-02 -0.1685107E-01
   0.1032776E-01 -0.1761077E-01
   0.1145776E-01 -0.1835523E-01
   0.1264623E-01 -0.1908673E-01
   0.1389180E-01 -0.1980856E-01
   0.1519701E-01 -0.2052405E-01
   0.1656765E-01 -0.2123597E-01
   0.1800929E-01 -0.2194651E-01
   0.1952737E-01 -0.2265567E-01
   0.2112779E-01 -0.2336278E-01
   0.2281691E-01 -0.2406706E-01
   0.2460158E-01 -0.2476768E-01
   0.2648908E-01 -0.2546368E-01
   0.2848713E-01 -0.2615406E-01
   0.3060378E-01 -0.2683777E-01
   0.3284732E-01 -0.2751373E-01
   0.3522612E-01 -0.2818097E-01
   0.3774840E-01 -0.2883869E-01
   0.4042211E-01 -0.2948646E-01
   0.4325462E-01 -0.3012442E-01
   0.4625269E-01 -0.3075363E-01
   0.4942255E-01 -0.3137645E-01
   0.5277045E-01 -0.3199706E-01
   0.5630597E-01 -0.3261813E-01
   0.6004252E-01 -0.3323821E-01
   0.6399329E-01 -0.3385524E-01
   0.6817045E-01 -0.3446679E-01
   0.7258434E-01 -0.3507017E-01
   0.7724288E-01 -0.3566256E-01
   0.8215118E-01 -0.3624122E-01
   0.8731177E-01 -0.3680385E-01
   0.9272588E-01 -0.3734897E-01
   0.9839435E-01 -0.3787549E-01
   0.1043142     -0.3838143E-01
   0.1104773     -0.3886510E-01
   0.1168706     -0.3932556E-01
   0.1234774     -0.3976280E-01
   0.1302784     -0.4017800E-01
   0.1372549     -0.4057289E-01
   0.1443900     -0.4094757E-01
   0.1516667     -0.4130216E-01
   0.1590683     -0.4163736E-01
   0.1665792     -0.4195416E-01
   0.1741847     -0.4225342E-01
   0.1818713     -0.4253637E-01
   0.1896276     -0.4280446E-01
   0.1974434     -0.4305902E-01
   0.2053084     -0.4330140E-01
   0.2132118     -0.4353312E-01
   0.2211426     -0.4375560E-01
   0.2290902     -0.4396877E-01
   0.2370457     -0.4417190E-01
   0.2450019     -0.4436431E-01
   0.2529536     -0.4454534E-01
   0.2608967     -0.4471386E-01
   0.2688286     -0.4486860E-01
   0.2767468     -0.4500831E-01
   0.2846498     -0.4513171E-01
   0.2925360     -0.4523755E-01
   0.3004044     -0.4532451E-01
   0.3082548     -0.4539111E-01
   0.3160892     -0.4543589E-01
   0.3239112     -0.4545738E-01
   0.3317258     -0.4545470E-01
   0.3395382     -0.4542775E-01
   0.3473535     -0.4537642E-01
   0.3551762     -0.4530091E-01
   0.3630106     -0.4520219E-01
   0.3708601     -0.4508133E-01
   0.3787276     -0.4493941E-01
   0.3866154     -0.4477767E-01
   0.3945245     -0.4459769E-01
   0.4024549     -0.4440111E-01
   0.4104053     -0.4418960E-01
   0.4183736     -0.4396446E-01
   0.4263575     -0.4372676E-01
   0.4343547     -0.4347760E-01
   0.4423631     -0.4321798E-01
   0.4503795     -0.4294858E-01
   0.4583996     -0.4267006E-01
   0.4664173     -0.4238299E-01
   0.4744271     -0.4208654E-01
   0.4824264     -0.4177923E-01
   0.4904163     -0.4145943E-01
   0.4984004     -0.4112622E-01
   0.5063820     -0.4077955E-01
   0.5143630     -0.4041951E-01
   0.5223439     -0.4004643E-01
   0.5303242     -0.3966094E-01
   0.5383025     -0.3926371E-01
   0.5462766     -0.3885496E-01
   0.5542435     -0.3843478E-01
   0.5621993     -0.3800265E-01
   0.5701422     -0.3755675E-01
   0.5780726     -0.3709513E-01
   0.5859938     -0.3661642E-01
   0.5939114     -0.3611944E-01
   0.6018335     -0.3560302E-01
   0.6097685     -0.3506772E-01
   0.6177214     -0.3451527E-01
   0.6256928     -0.3394775E-01
   0.6336795     -0.3336695E-01
   0.6416790     -0.3277343E-01
   0.6496929     -0.3216733E-01
   0.6577264     -0.3154879E-01
   0.6657850     -0.3091950E-01
   0.6738699     -0.3028191E-01
   0.6819774     -0.2963895E-01
   0.6900987     -0.2899370E-01
   0.6982243     -0.2834834E-01
   0.7063474     -0.2770457E-01
   0.7144649     -0.2706378E-01
   0.7225769     -0.2642651E-01
   0.7306832     -0.2579119E-01
   0.7387818     -0.2515598E-01
   0.7468683     -0.2451925E-01
   0.7549365     -0.2387960E-01
   0.7629809     -0.2323569E-01
   0.7709971     -0.2258615E-01
