Bergey BW-3  (smoothed)
   0.9999927      0.3308484E-02
   0.9974101      0.5271268E-02
   0.9943845      0.7355795E-02
   0.9912894      0.9271290E-02
   0.9881025      0.1103548E-01
   0.9848020      0.1266644E-01
   0.9813671      0.1417912E-01
   0.9777766      0.1558379E-01
   0.9740065      0.1689091E-01
   0.9700300      0.1811132E-01
   0.9658208      0.1925501E-01
   0.9613526      0.2033078E-01
   0.9565945      0.2134646E-01
   0.9515156      0.2231264E-01
   0.9460894      0.2324335E-01
   0.9402959      0.2414900E-01
   0.9341276      0.2504040E-01
   0.9276013      0.2593313E-01
   0.9207644      0.2683763E-01
   0.9136833      0.2775583E-01
   0.9064301      0.2869174E-01
   0.8990689      0.2964912E-01
   0.8916479      0.3062572E-01
   0.8841970      0.3162037E-01
   0.8767247      0.3263436E-01
   0.8692245      0.3366821E-01
   0.8616901      0.3472082E-01
   0.8541183      0.3579053E-01
   0.8465098      0.3687513E-01
   0.8388687      0.3797201E-01
   0.8312013      0.3907814E-01
   0.8235169      0.4019004E-01
   0.8158269      0.4130389E-01
   0.8081426      0.4241606E-01
   0.8004719      0.4352350E-01
   0.7928187      0.4462372E-01
   0.7851835      0.4571483E-01
   0.7775645      0.4679571E-01
   0.7699597      0.4786555E-01
   0.7623678      0.4892346E-01
   0.7547877      0.4996852E-01
   0.7472187      0.5099984E-01
   0.7396604      0.5201673E-01
   0.7321118      0.5301857E-01
   0.7245723      0.5400473E-01
   0.7170408      0.5497462E-01
   0.7095163      0.5592780E-01
   0.7019978      0.5686392E-01
   0.6944847      0.5778261E-01
   0.6869767      0.5868348E-01
   0.6794736      0.5956610E-01
   0.6719754      0.6043003E-01
   0.6644822      0.6127486E-01
   0.6569938      0.6210018E-01
   0.6495099      0.6290560E-01
   0.6420300      0.6369077E-01
   0.6345536      0.6445537E-01
   0.6270805      0.6519914E-01
   0.6196104      0.6592182E-01
   0.6121432      0.6662312E-01
   0.6046792      0.6730273E-01
   0.5972185      0.6796033E-01
   0.5897614      0.6859556E-01
   0.5823079      0.6920810E-01
   0.5748581      0.6979762E-01
   0.5674118      0.7036381E-01
   0.5599688      0.7090637E-01
   0.5525290      0.7142500E-01
   0.5450925      0.7191940E-01
   0.5376596      0.7238925E-01
   0.5302308      0.7283423E-01
   0.5228069      0.7325398E-01
   0.5153883      0.7364807E-01
   0.5079751      0.7401610E-01
   0.5005665      0.7435768E-01
   0.4931616      0.7467244E-01
   0.4857587      0.7496009E-01
   0.4783561      0.7522068E-01
   0.4709525      0.7545436E-01
   0.4635470      0.7566123E-01
   0.4561391      0.7584137E-01
   0.4487287      0.7599486E-01
   0.4413161      0.7612180E-01
   0.4339014      0.7622229E-01
   0.4264848      0.7629644E-01
   0.4190663      0.7634438E-01
   0.4116460      0.7636621E-01
   0.4042238      0.7636206E-01
   0.3968000      0.7633204E-01
   0.3893747      0.7627626E-01
   0.3819484      0.7619486E-01
   0.3745216      0.7608794E-01
   0.3670949      0.7595556E-01
   0.3596692      0.7579767E-01
   0.3522454      0.7561427E-01
   0.3448246      0.7540534E-01
   0.3374082      0.7517090E-01
   0.3299975      0.7491073E-01
   0.3225941      0.7462446E-01
   0.3151997      0.7431175E-01
   0.3078160      0.7397226E-01
   0.3004449      0.7360568E-01
   0.2930883      0.7321135E-01
   0.2857482      0.7278845E-01
   0.2784267      0.7233620E-01
   0.2711255      0.7185388E-01
   0.2638469      0.7134071E-01
   0.2565927      0.7079552E-01
   0.2493648      0.7021711E-01
   0.2421651      0.6960433E-01
   0.2349952      0.6895607E-01
   0.2278568      0.6827109E-01
   0.2207513      0.6754789E-01
   0.2136802      0.6678501E-01
   0.2066445      0.6598105E-01
   0.1996454      0.6513464E-01
   0.1926835      0.6424426E-01
   0.1857589      0.6330834E-01
   0.1788712      0.6232523E-01
   0.1720191      0.6129323E-01
   0.1652011      0.6021080E-01
   0.1584155      0.5907674E-01
   0.1516611      0.5788984E-01
   0.1449365      0.5664885E-01
   0.1382407      0.5535277E-01
   0.1315729      0.5400103E-01
   0.1249323      0.5259313E-01
   0.1183187      0.5112863E-01
   0.1117323      0.4960751E-01
   0.1051754      0.4803107E-01
   0.9865386E-01  0.4640163E-01
   0.9217659E-01  0.4472258E-01
   0.8575749E-01  0.4299951E-01
   0.7942031E-01  0.4124183E-01
   0.7319811E-01  0.3946237E-01
   0.6713111E-01  0.3767736E-01
   0.6127439E-01  0.3590924E-01
   0.5569365E-01  0.3418505E-01
   0.5044705E-01  0.3252971E-01
   0.4558330E-01  0.3096029E-01
   0.4113729E-01  0.2949002E-01
   0.3711458E-01  0.2812550E-01
   0.3349479E-01  0.2686083E-01
   0.3024272E-01  0.2567900E-01
   0.2731517E-01  0.2456513E-01
   0.2466882E-01  0.2350738E-01
   0.2226526E-01  0.2249587E-01
   0.2007535E-01  0.2151944E-01
   0.1807556E-01  0.2056948E-01
   0.1624521E-01  0.1964045E-01
   0.1456603E-01  0.1872867E-01
   0.1302181E-01  0.1783162E-01
   0.1159987E-01  0.1694654E-01
   0.1029127E-01  0.1606916E-01
   0.9086989E-02  0.1519555E-01
   0.7978324E-02  0.1432242E-01
   0.6957305E-02  0.1344697E-01
   0.6016842E-02  0.1256681E-01
   0.5150757E-02  0.1167990E-01
   0.4355443E-02  0.1078580E-01
   0.3630365E-02  0.9886260E-02
   0.2975306E-02  0.8983404E-02
   0.2389921E-02  0.8079488E-02
