CAP 21   (TraCFoil)
    1.000550      0.5038996E-03
   0.9889620      0.1768299E-02
   0.9711003      0.3923192E-02
   0.9513917      0.6591504E-02
   0.9384409      0.8311696E-02
   0.9279574      0.9685386E-02
   0.9188363      0.1086716E-01
   0.9106076      0.1192277E-01
   0.9030200      0.1288745E-01
   0.8959200      0.1378268E-01
   0.8892060      0.1462269E-01
   0.8828065      0.1541752E-01
   0.8766690      0.1617452E-01
   0.8707534      0.1689930E-01
   0.8650285      0.1759626E-01
   0.8594693      0.1826888E-01
   0.8540554      0.1892003E-01
   0.8487699      0.1955207E-01
   0.8435986      0.2016699E-01
   0.8385295      0.2076647E-01
   0.8335522      0.2135196E-01
   0.8286576      0.2192472E-01
   0.8238380      0.2248584E-01
   0.8190864      0.2303628E-01
   0.8143966      0.2357690E-01
   0.8097630      0.2410846E-01
   0.8051809      0.2463165E-01
   0.8006455      0.2514709E-01
   0.7961530      0.2565533E-01
   0.7916994      0.2615689E-01
   0.7872815      0.2665223E-01
   0.7828960      0.2714178E-01
   0.7785400      0.2762593E-01
   0.7742108      0.2810506E-01
   0.7699058      0.2857949E-01
   0.7656226      0.2904956E-01
   0.7613590      0.2951556E-01
   0.7571128      0.2997776E-01
   0.7528820      0.3043643E-01
   0.7486646      0.3089182E-01
   0.7444589      0.3134417E-01
   0.7402630      0.3179369E-01
   0.7360752      0.3224060E-01
   0.7318940      0.3268511E-01
   0.7277176      0.3312741E-01
   0.7235445      0.3356770E-01
   0.7193732      0.3400615E-01
   0.7152023      0.3444295E-01
   0.7110302      0.3487825E-01
   0.7068555      0.3531225E-01
   0.7026768      0.3574508E-01
   0.6984926      0.3617693E-01
   0.6943016      0.3660794E-01
   0.6901024      0.3703827E-01
   0.6858934      0.3746808E-01
   0.6816734      0.3789752E-01
   0.6774409      0.3832674E-01
   0.6731945      0.3875589E-01
   0.6689326      0.3918514E-01
   0.6646538      0.3961462E-01
   0.6603566      0.4004450E-01
   0.6560394      0.4047493E-01
   0.6517007      0.4090607E-01
   0.6473389      0.4133809E-01
   0.6429521      0.4177114E-01
   0.6385388      0.4220539E-01
   0.6340972      0.4264102E-01
   0.6296253      0.4307820E-01
   0.6251213      0.4351712E-01
   0.6205830      0.4395797E-01
   0.6160086      0.4440094E-01
   0.6113956      0.4484623E-01
   0.6067419      0.4529407E-01
   0.6020450      0.4574466E-01
   0.5973023      0.4619826E-01
   0.5925111      0.4665509E-01
   0.5876685      0.4711543E-01
   0.5827715      0.4757955E-01
   0.5778168      0.4804773E-01
   0.5728010      0.4852030E-01
   0.5677204      0.4899757E-01
   0.5625709      0.4947990E-01
   0.5573482      0.4996768E-01
   0.5520478      0.5046132E-01
   0.5466646      0.5096124E-01
   0.5411931      0.5146795E-01
   0.5356275      0.5198194E-01
   0.5299613      0.5250381E-01
   0.5241873      0.5303416E-01
   0.5182978      0.5357369E-01
   0.5122841      0.5412315E-01
   0.5061366      0.5468338E-01
   0.4998446      0.5525533E-01
   0.4933962      0.5584003E-01
   0.4867779      0.5643868E-01
   0.4799744      0.5705261E-01
   0.4729684      0.5768335E-01
   0.4657399      0.5833266E-01
   0.4582659      0.5900256E-01
   0.4505196      0.5969540E-01
   0.4424694      0.6041399E-01
   0.4340782      0.6116160E-01
   0.4253009      0.6194223E-01
   0.4160832      0.6276069E-01
   0.4063581      0.6362296E-01
   0.3960416      0.6453651E-01
   0.3850267      0.6551092E-01
   0.3731742      0.6655869E-01
   0.3602983      0.6769653E-01
   0.3461446      0.6894749E-01
   0.3303537      0.7034426E-01
   0.3124035      0.7193471E-01
   0.2915245      0.7379018E-01
   0.2666489      0.7601173E-01
   0.2396672      0.7843724E-01
   0.2157926      0.8051196E-01
   0.1946822      0.8200354E-01
   0.1757582      0.8281635E-01
   0.1585919      0.8294078E-01
   0.1429034      0.8240870E-01
   0.1285126      0.8128997E-01
   0.1152863      0.7966142E-01
   0.1031264      0.7760925E-01
   0.9198070E-01  0.7522930E-01
   0.8180972E-01  0.7260609E-01
   0.7256595E-01  0.6978012E-01
   0.6416977E-01  0.6677467E-01
   0.5652981E-01  0.6361044E-01
   0.4957249E-01  0.6031384E-01
   0.4324744E-01  0.5691943E-01
   0.3751320E-01  0.5346334E-01
   0.3234968E-01  0.4996855E-01
   0.2772924E-01  0.4643670E-01
   0.2360818E-01  0.4285747E-01
   0.1993633E-01  0.3921629E-01
   0.1664247E-01  0.3551663E-01
