DU 06-W-200  VAWT airfoil
    1.000030      0.7495183E-03
   0.9954169      0.1363706E-02
   0.9898131      0.2070193E-02
   0.9839116      0.2825673E-02
   0.9777270      0.3653763E-02
   0.9712719      0.4552217E-02
   0.9645658      0.5513177E-02
   0.9576346      0.6531679E-02
   0.9505032      0.7603129E-02
   0.9431961      0.8721842E-02
   0.9357367      0.9882194E-02
   0.9281440      0.1107689E-01
   0.9204415      0.1229408E-01
   0.9126580      0.1352920E-01
   0.9048091      0.1478257E-01
   0.8969078      0.1604820E-01
   0.8889722      0.1732375E-01
   0.8810105      0.1861090E-01
   0.8730284      0.1990628E-01
   0.8650363      0.2120904E-01
   0.8570380      0.2252169E-01
   0.8490332      0.2384317E-01
   0.8410251      0.2517050E-01
   0.8330221      0.2650169E-01
   0.8250297      0.2784232E-01
   0.8170429      0.2919692E-01
   0.8090542      0.3056446E-01
   0.8010624      0.3193487E-01
   0.7930760      0.3330797E-01
   0.7850965      0.3469280E-01
   0.7771171      0.3609217E-01
   0.7691326      0.3750201E-01
   0.7611508      0.3891576E-01
   0.7531802      0.4033796E-01
   0.7452176      0.4177457E-01
   0.7372534      0.4322760E-01
   0.7292847      0.4468997E-01
   0.7213202      0.4615887E-01
   0.7133628      0.4763757E-01
   0.7054096      0.4912705E-01
   0.6974591      0.5062114E-01
   0.6895199      0.5211397E-01
   0.6815955      0.5361895E-01
   0.6736712      0.5513134E-01
   0.6657381      0.5663645E-01
   0.6577993      0.5814465E-01
   0.6498578      0.5965567E-01
   0.6419175      0.6115921E-01
   0.6339799      0.6265076E-01
   0.6260445      0.6413165E-01
   0.6181170      0.6560355E-01
   0.6102063      0.6706213E-01
   0.6023148      0.6849862E-01
   0.5944288      0.6990826E-01
   0.5865415      0.7129843E-01
   0.5786577      0.7266918E-01
   0.5707714      0.7401930E-01
   0.5628833      0.7535429E-01
   0.5550020      0.7666872E-01
   0.5471155      0.7795756E-01
   0.5392180      0.7923176E-01
   0.5313220      0.8049109E-01
   0.5234280      0.8172928E-01
   0.5155292      0.8294684E-01
   0.5076240      0.8414774E-01
   0.4997196      0.8533507E-01
   0.4918220      0.8650466E-01
   0.4839307      0.8765508E-01
   0.4760465      0.8878772E-01
   0.4681776      0.8990272E-01
   0.4603332      0.9099347E-01
   0.4525020      0.9205471E-01
   0.4446867      0.9309825E-01
   0.4369137      0.9411598E-01
   0.4291699      0.9508980E-01
   0.4214425      0.9603357E-01
   0.4137555      0.9694628E-01
   0.4061062      0.9781081E-01
   0.3984807      0.9863196E-01
   0.3908885      0.9941072E-01
   0.3833302      0.1001383    
   0.3757983      0.1008146    
   0.3682951      0.1014386    
   0.3608188      0.1020040    
   0.3533613      0.1025087    
   0.3459162      0.1029533    
   0.3384819      0.1033393    
   0.3310577      0.1036648    
   0.3236360      0.1039282    
   0.3162133      0.1041364    
   0.3087970      0.1042916    
   0.3013925      0.1043902    
   0.2939976      0.1044272    
   0.2866047      0.1044042    
   0.2792188      0.1043299    
   0.2718521      0.1042016    
   0.2645066      0.1040133    
   0.2571795      0.1037622    
   0.2498692      0.1034504    
   0.2425808      0.1030811    
   0.2353207      0.1026529    
   0.2280929      0.1021637    
   0.2209001      0.1016111    
   0.2137448      0.1009942    
   0.2066304      0.1003121    
   0.1995593      0.9956376E-01
   0.1925349      0.9875095E-01
   0.1855666      0.9787438E-01
   0.1786610      0.9692890E-01
   0.1718193      0.9591231E-01
   0.1650454      0.9482566E-01
   0.1583463      0.9366912E-01
   0.1517302      0.9244137E-01
   0.1452000      0.9113921E-01
   0.1387580      0.8976696E-01
   0.1324180      0.8833195E-01
   0.1261942      0.8683003E-01
   0.1200907      0.8525885E-01
   0.1141135      0.8362449E-01
   0.1082751      0.8193151E-01
   0.1025875      0.8018240E-01
   0.9706012E-01  0.7837767E-01
   0.9169750E-01  0.7651978E-01
   0.8650548E-01  0.7461964E-01
   0.8149596E-01  0.7268689E-01
   0.7667901E-01  0.7072370E-01
   0.7205774E-01  0.6873425E-01
   0.6763395E-01  0.6672766E-01
   0.6341045E-01  0.6471297E-01
   0.5938923E-01  0.6269790E-01
   0.5557054E-01  0.6068871E-01
   0.5195288E-01  0.5868951E-01
   0.4853181E-01  0.5670429E-01
   0.4530108E-01  0.5473860E-01
   0.4225389E-01  0.5279787E-01
   0.3938339E-01  0.5088607E-01
   0.3668226E-01  0.4900602E-01
   0.3414244E-01  0.4715983E-01
   0.3175584E-01  0.4534891E-01
   0.2951422E-01  0.4357427E-01
   0.2740947E-01  0.4183675E-01
   0.2543363E-01  0.4013693E-01
   0.2357888E-01  0.3847508E-01
   0.2183802E-01  0.3685112E-01
   0.2020457E-01  0.3526440E-01
   0.1867207E-01  0.3371399E-01
   0.1723400E-01  0.3219881E-01
   0.1588397E-01  0.3071808E-01
   0.1461615E-01  0.2927125E-01
   0.1342518E-01  0.2785771E-01
   0.1230626E-01  0.2647661E-01
   0.1125499E-01  0.2512705E-01
   0.1026723E-01  0.2380807E-01
   0.9338678E-02  0.2251897E-01
   0.8464967E-02  0.2125942E-01
   0.7642155E-02  0.2002905E-01
   0.6867772E-02  0.1882691E-01
   0.6142289E-02  0.1765034E-01
   0.5466073E-02  0.1649655E-01
   0.4838558E-02  0.1536333E-01
   0.4257136E-02  0.1425007E-01
   0.3718953E-02  0.1315668E-01
   0.3221721E-02  0.1208303E-01
   0.2764518E-02  0.1102854E-01
   0.2346587E-02  0.9992395E-02
   0.1964740E-02  0.8974369E-02
   0.1610522E-02  0.7976163E-02
   0.1276376E-02  0.6999785E-02
   0.9671959E-03  0.6043776E-02
   0.6982357E-03  0.5102777E-02
   0.4794758E-03  0.4172317E-02
   0.3060096E-03  0.3254030E-02
   0.1706002E-03  0.2352278E-02
   0.7217970E-04  0.1468410E-02
   0.1336851E-04  0.5972381E-03
   0.3015079E-05 -0.2683057E-03
   0.5961203E-04 -0.1133118E-02
   0.1918142E-03 -0.2003470E-02
   0.3817522E-03 -0.2885965E-02
   0.6105494E-03 -0.3781622E-02
   0.8778540E-03 -0.4687759E-02
   0.1188502E-02 -0.5602834E-02
   0.1543444E-02 -0.6527477E-02
   0.1940364E-02 -0.7462731E-02
   0.2376921E-02 -0.8409314E-02
   0.2851998E-02 -0.9368314E-02
   0.3364519E-02 -0.1034105E-01
   0.3915416E-02 -0.1132794E-01
   0.4507597E-02 -0.1232841E-01
   0.5144075E-02 -0.1334197E-01
   0.5826119E-02 -0.1436949E-01
   0.6553936E-02 -0.1541259E-01
   0.7327771E-02 -0.1647273E-01
   0.8150155E-02 -0.1755004E-01
   0.9024834E-02 -0.1864400E-01
   0.9955859E-02 -0.1975417E-01
