E174  (Dicke 8.92%)
    1.000000     -0.4065758E-19
   0.9971071      0.3874417E-03
   0.9931976      0.9327184E-03
   0.9886562      0.1593986E-02
   0.9835496      0.2367133E-02
   0.9779470      0.3242669E-02
   0.9719583      0.4198937E-02
   0.9657015      0.5209287E-02
   0.9592735      0.6254247E-02
   0.9527547      0.7317596E-02
   0.9461924      0.8388319E-02
   0.9396058      0.9461994E-02
   0.9330059      0.1053641E-01
   0.9263997      0.1161009E-01
   0.9197892      0.1268244E-01
   0.9131744      0.1375390E-01
   0.9065550      0.1482513E-01
   0.8999314      0.1589672E-01
   0.8933043      0.1696921E-01
   0.8866745      0.1804282E-01
   0.8800431      0.1911737E-01
   0.8734108      0.2019266E-01
   0.8667783      0.2126851E-01
   0.8601460      0.2234477E-01
   0.8535143      0.2342127E-01
   0.8468834      0.2449778E-01
   0.8402534      0.2557402E-01
   0.8336245      0.2664977E-01
   0.8269965      0.2772479E-01
   0.8203696      0.2879885E-01
   0.8137436      0.2987178E-01
   0.8071184      0.3094347E-01
   0.8004940      0.3201381E-01
   0.7938706      0.3308268E-01
   0.7872482      0.3414994E-01
   0.7806270      0.3521547E-01
   0.7740074      0.3627910E-01
   0.7673894      0.3734057E-01
   0.7607734      0.3839965E-01
   0.7541594      0.3945607E-01
   0.7475475      0.4050961E-01
   0.7409378      0.4156004E-01
   0.7343302      0.4260714E-01
   0.7277246      0.4365069E-01
   0.7211210      0.4469046E-01
   0.7145193      0.4572622E-01
   0.7079196      0.4675770E-01
   0.7013219      0.4778466E-01
   0.6947264      0.4880684E-01
   0.6881332      0.4982396E-01
   0.6815424      0.5083573E-01
   0.6749543      0.5184178E-01
   0.6683689      0.5284172E-01
   0.6617865      0.5383518E-01
   0.6552072      0.5482180E-01
   0.6486311      0.5580121E-01
   0.6420582      0.5677306E-01
   0.6354887      0.5773695E-01
   0.6289226      0.5869235E-01
   0.6223602      0.5963868E-01
   0.6158019      0.6057533E-01
   0.6092483      0.6150168E-01
   0.6027000      0.6241711E-01
   0.5961578      0.6332096E-01
   0.5896226      0.6421258E-01
   0.5830955      0.6509106E-01
   0.5765772      0.6595532E-01
   0.5700680      0.6680432E-01
   0.5635683      0.6763709E-01
   0.5570778      0.6845269E-01
   0.5505963      0.6925022E-01
   0.5441232      0.7002883E-01
   0.5376576      0.7078776E-01
   0.5311988      0.7152644E-01
   0.5247460      0.7224433E-01
   0.5182986      0.7294089E-01
   0.5118561      0.7361555E-01
   0.5054180      0.7426775E-01
   0.4989840      0.7489690E-01
   0.4925536      0.7550241E-01
   0.4861268      0.7608380E-01
   0.4797034      0.7664065E-01
   0.4732833      0.7717255E-01
   0.4668664      0.7767910E-01
   0.4604526      0.7815987E-01
   0.4540421      0.7861445E-01
   0.4476346      0.7904241E-01
