E203  (13.64%)
    1.000000      0.1778769E-19
   0.9964857      0.6517246E-03
   0.9920322      0.1550797E-02
   0.9871488      0.2612494E-02
   0.9818548      0.3825555E-02
   0.9761820      0.5170883E-02
   0.9701976      0.6612996E-02
   0.9640016      0.8103259E-02
   0.9576992      0.9603752E-02
   0.9513645      0.1108773E-01
   0.9450221      0.1254104E-01
   0.9386616      0.1396370E-01
   0.9322701      0.1535968E-01
   0.9258389      0.1673186E-01
   0.9193642      0.1808218E-01
   0.9128458      0.1941333E-01
   0.9062862      0.2072874E-01
   0.8996891      0.2203170E-01
   0.8930601      0.2332533E-01
   0.8864066      0.2461193E-01
   0.8797355      0.2589138E-01
   0.8730523      0.2716331E-01
   0.8663615      0.2842763E-01
   0.8596657      0.2968454E-01
   0.8529665      0.3093449E-01
   0.8462641      0.3217766E-01
   0.8395588      0.3341413E-01
   0.8328506      0.3464397E-01
   0.8261396      0.3586726E-01
   0.8194258      0.3708411E-01
   0.8127092      0.3829462E-01
   0.8059897      0.3949896E-01
   0.7992674      0.4069728E-01
   0.7925426      0.4188973E-01
   0.7858154      0.4307641E-01
   0.7790863      0.4425743E-01
   0.7723558      0.4543284E-01
   0.7656242      0.4660251E-01
   0.7588922      0.4776624E-01
   0.7521600      0.4892386E-01
   0.7454280      0.5007518E-01
   0.7386965      0.5122003E-01
   0.7319658      0.5235827E-01
   0.7252359      0.5348969E-01
   0.7185071      0.5461402E-01
   0.7117795      0.5573100E-01
   0.7050530      0.5684036E-01
   0.6983276      0.5794184E-01
   0.6916032      0.5903521E-01
   0.6848798      0.6012022E-01
   0.6781571      0.6119665E-01
   0.6714350      0.6226431E-01
   0.6647135      0.6332297E-01
   0.6579926      0.6437239E-01
   0.6512725      0.6541235E-01
   0.6445534      0.6644258E-01
   0.6378355      0.6746282E-01
   0.6311192      0.6847270E-01
   0.6244050      0.6947163E-01
   0.6176933      0.7045898E-01
   0.6109846      0.7143411E-01
   0.6042795      0.7239639E-01
   0.5975788      0.7334518E-01
   0.5908831      0.7427983E-01
   0.5841934      0.7519964E-01
   0.5775101      0.7610360E-01
   0.5708340      0.7699061E-01
   0.5641651      0.7785962E-01
   0.5575036      0.7870963E-01
   0.5508493      0.7953967E-01
   0.5442018      0.8034881E-01
   0.5375605      0.8113613E-01
   0.5309246      0.8190091E-01
   0.5242938      0.8264251E-01
   0.5176674      0.8336029E-01
   0.5110451      0.8405359E-01
   0.5044268      0.8472173E-01
   0.4978124      0.8536405E-01
   0.4912018      0.8597985E-01
   0.4845952      0.8656847E-01
   0.4779928      0.8712926E-01
   0.4713945      0.8766163E-01
   0.4648003      0.8816497E-01
   0.4582102      0.8863868E-01
   0.4516237      0.8908220E-01
   0.4450406      0.8949493E-01
   0.4384605      0.8987633E-01
   0.4318829      0.9022601E-01
   0.4253075      0.9054365E-01
   0.4187345      0.9082887E-01
   0.4121637      0.9108132E-01
   0.4055954      0.9130063E-01
   0.3990299      0.9148644E-01
   0.3924677      0.9163837E-01
   0.3859095      0.9175595E-01
   0.3793556      0.9183869E-01
   0.3728064      0.9188608E-01
   0.3662622      0.9189766E-01
   0.3597230      0.9187292E-01
   0.3531889      0.9181139E-01
   0.3466597      0.9171259E-01
   0.3401351      0.9157625E-01
   0.3336149      0.9140215E-01
   0.3270988      0.9119007E-01
   0.3205862      0.9093979E-01
   0.3140766      0.9065104E-01
   0.3075694      0.9032355E-01
   0.3010638      0.8995709E-01
   0.2945593      0.8955176E-01
   0.2880554      0.8910778E-01
   0.2815520      0.8862538E-01
   0.2750493      0.8810482E-01
   0.2685477      0.8754636E-01
   0.2620479      0.8695030E-01
   0.2555509      0.8631680E-01
   0.2490580      0.8564579E-01
   0.2425704      0.8493717E-01
   0.2360894      0.8419090E-01
   0.2296164      0.8340698E-01
   0.2231531      0.8258544E-01
   0.2167010      0.8172620E-01
   0.2102618      0.8082866E-01
   0.2038372      0.7989206E-01
   0.1974283      0.7891570E-01
   0.1910365      0.7789885E-01
   0.1846628      0.7684080E-01
   0.1783080      0.7574077E-01
   0.1719731      0.7459785E-01
   0.1656592      0.7341108E-01
   0.1593673      0.7217958E-01
   0.1530986      0.7090247E-01
   0.1468541      0.6957893E-01
   0.1406355      0.6820788E-01
