FX 74-Cl5-140 MOD  (smoothed)
    1.000000      0.5999999E-04
   0.9974171      0.1947185E-02
   0.9942743      0.4050614E-02
   0.9909295      0.6080572E-02
   0.9873177      0.8062453E-02
   0.9833526      0.1005592E-01
   0.9789865      0.1211862E-01
   0.9742719      0.1425447E-01
   0.9692977      0.1641384E-01
   0.9641026      0.1857082E-01
   0.9586592      0.2075194E-01
   0.9529662      0.2300021E-01
   0.9471069      0.2533479E-01
   0.9412161      0.2770425E-01
   0.9353594      0.3003612E-01
   0.9295083      0.3229556E-01
   0.9235607      0.3449369E-01
   0.9174201      0.3667769E-01
   0.9110371      0.3888258E-01
   0.9044367      0.4112044E-01
   0.8977201      0.4336672E-01
   0.8909787      0.4558659E-01
   0.8842547      0.4776238E-01
   0.8775366      0.4989462E-01
   0.8707829      0.5199857E-01
   0.8639607      0.5408948E-01
   0.8570538      0.5617722E-01
   0.8500652      0.5826599E-01
   0.8430138      0.6035382E-01
   0.8359190      0.6243715E-01
   0.8287960      0.6451397E-01
   0.8216542      0.6658399E-01
   0.8144978      0.6864793E-01
   0.8073288      0.7070571E-01
   0.8001498      0.7275694E-01
   0.7929637      0.7480109E-01
   0.7857744      0.7683738E-01
   0.7785855      0.7886451E-01
   0.7713998      0.8088105E-01
   0.7642191      0.8288585E-01
   0.7570440      0.8487811E-01
   0.7498742      0.8685725E-01
   0.7427091      0.8882291E-01
   0.7355479      0.9077464E-01
   0.7283905      0.9271195E-01
   0.7212367      0.9463429E-01
   0.7140867      0.9654105E-01
   0.7069404      0.9843170E-01
   0.6997975      0.1003058    
   0.6926571      0.1021632    
   0.6855179      0.1040036    
   0.6783779      0.1058272    
   0.6712353      0.1076341    
   0.6640891      0.1094247    
   0.6569391      0.1111991    
   0.6497858      0.1129572    
   0.6426306      0.1146987    
   0.6354757      0.1164227    
   0.6283226      0.1181285    
   0.6211727      0.1198151    
   0.6140267      0.1214819    
   0.6068850      0.1231282    
   0.5997475      0.1247535    
   0.5926141      0.1263572    
   0.5854852      0.1279384    
   0.5783616      0.1294965    
   0.5712446      0.1310303    
   0.5641358      0.1325390    
   0.5570367      0.1340212    
   0.5499488      0.1354752    
   0.5428733      0.1368997    
   0.5358107      0.1382934    
   0.5287616      0.1396550    
   0.5217262      0.1409833    
   0.5147045      0.1422769    
   0.5076969      0.1435344    
   0.5007036      0.1447547    
   0.4937248      0.1459362    
   0.4867609      0.1470778    
   0.4798124      0.1481780    
   0.4728797      0.1492354    
   0.4659629      0.1502487    
   0.4590622      0.1512164    
   0.4521779      0.1521373    
   0.4453100      0.1530101    
   0.4384585      0.1538337    
   0.4316234      0.1546067    
   0.4248046      0.1553280    
   0.4180017      0.1559964    
   0.4112143      0.1566108    
   0.4044423      0.1571702    
   0.3976858      0.1576734    
   0.3909452      0.1581194    
   0.3842216      0.1585071    
   0.3775159      0.1588356    
   0.3708298      0.1591036    
   0.3641642      0.1593101    
   0.3575198      0.1594540    
   0.3508962      0.1595341    
   0.3442923      0.1595494    
   0.3377065      0.1594989    
   0.3311370      0.1593816    
   0.3245829      0.1591973    
   0.3180441      0.1589452    
   0.3115215      0.1586249    
   0.3050167      0.1582359    
   0.2985323      0.1577779    
   0.2920705      0.1572501    
   0.2856328      0.1566519    
   0.2792198      0.1559826    
   0.2728311      0.1552413    
   0.2664658      0.1544272    
   0.2601226      0.1535396    
   0.2538010      0.1525780    
   0.2475014      0.1515422    
   0.2412250      0.1504321    
   0.2349739      0.1492474    
   0.2287506      0.1479884    
   0.2225573      0.1466549    
   0.2163947      0.1452465    
   0.2102630      0.1437627    
   0.2041610      0.1422024    
   0.1980870      0.1405649    
   0.1920398      0.1388497    
   0.1860197      0.1370570    
   0.1800287      0.1351872    
   0.1740702      0.1332414    
   0.1681487      0.1312210    
   0.1622687      0.1291267    
   0.1564332      0.1269590    
   0.1506436      0.1247177    
   0.1448998      0.1224021    
   0.1392009      0.1200113    
   0.1335470      0.1175450    
   0.1279406      0.1150041    
   0.1223863      0.1123907    
   0.1168906      0.1097078    
   0.1114618      0.1069584    
   0.1061071      0.1041445    
   0.1008317      0.1012673    
   0.9563913E-01  0.9832748E-01
   0.9053134E-01  0.9532504E-01
   0.8551073E-01  0.9226004E-01
   0.8058069E-01  0.8913330E-01
   0.7574537E-01  0.8594647E-01
   0.7100958E-01  0.8270199E-01
   0.6637853E-01  0.7940286E-01
   0.6185673E-01  0.7605183E-01
   0.5744745E-01  0.7265125E-01
   0.5315290E-01  0.6920303E-01
   0.4897590E-01  0.6571053E-01
   0.4492578E-01  0.6218411E-01
   0.4101893E-01  0.5864215E-01
   0.3727545E-01  0.5510926E-01
   0.3371646E-01  0.5161245E-01
   0.3036140E-01  0.4817708E-01
   0.2722304E-01  0.4482567E-01
   0.2430631E-01  0.4157612E-01
   0.2161048E-01  0.3844181E-01
   0.1913900E-01  0.3544023E-01
   0.1689672E-01  0.3259384E-01
   0.1488145E-01  0.2992006E-01
   0.1308190E-01  0.2742618E-01
   0.1147987E-01  0.2510927E-01
   0.1005340E-01  0.2295817E-01
   0.8779805E-02  0.2095751E-01
   0.7638110E-02  0.1909111E-01
   0.6609950E-02  0.1734366E-01
   0.5679687E-02  0.1570138E-01
   0.4834847E-02  0.1415214E-01
   0.4070383E-02  0.1268630E-01
   0.3384553E-02  0.1129867E-01
   0.2774904E-02  0.9986405E-02
   0.2237717E-02  0.8747042E-02
   0.1768122E-02  0.7577634E-02
   0.1360494E-02  0.6474574E-02
   0.1008900E-02  0.5433714E-02
   0.7087414E-03  0.4450426E-02
   0.4610401E-03  0.3518042E-02
   0.2664914E-03  0.2627663E-02
   0.1248166E-03  0.1769990E-02
   0.3592904E-04  0.9360695E-03
   0.5795544E-06  0.1173265E-03
   0.2091102E-04 -0.6936839E-03
   0.1013779E-03 -0.1496592E-02
   0.2484416E-03 -0.2286566E-02
   0.4702760E-03 -0.3057264E-02
   0.7768043E-03 -0.3800517E-02
   0.1179377E-02 -0.4506142E-02
   0.1681807E-02 -0.5167143E-02
   0.2278482E-02 -0.5781296E-02
   0.2963085E-02 -0.6345919E-02
   0.3728783E-02 -0.6857433E-02
   0.4567843E-02 -0.7311138E-02
   0.5471094E-02 -0.7700910E-02
   0.6430355E-02 -0.8020484E-02
   0.7448962E-02 -0.8269158E-02
   0.8534432E-02 -0.8447978E-02
   0.9695627E-02 -0.8558560E-02
   0.1094281E-01 -0.8603858E-02
   0.1228731E-01 -0.8589545E-02
   0.1374036E-01 -0.8526394E-02
   0.1531370E-01 -0.8424334E-02
   0.1702441E-01 -0.8279750E-02
   0.1889280E-01 -0.8087035E-02
   0.2094231E-01 -0.7841013E-02
   0.2320083E-01 -0.7537884E-02
   0.2570430E-01 -0.7176180E-02
   0.2849981E-01 -0.6752117E-02
   0.3164329E-01 -0.6258652E-02
   0.3519694E-01 -0.5691881E-02
   0.3922223E-01 -0.5056124E-02
   0.4377305E-01 -0.4359713E-02
   0.4887446E-01 -0.3603031E-02
   0.5450119E-01 -0.2789020E-02
   0.6059203E-01 -0.1922664E-02
   0.6706625E-01 -0.1015935E-02
   0.7382609E-01 -0.8421615E-04
   0.8079333E-01  0.8609049E-03
   0.8791571E-01  0.1813131E-02
   0.9514946E-01  0.2768211E-02
   0.1024625      0.3723787E-02
   0.1098327      0.4678504E-02
   0.1172432      0.5631616E-02
   0.1246819      0.6583074E-02
   0.1321407      0.7532772E-02
   0.1396127      0.8480296E-02
   0.1470909      0.9425252E-02
   0.1545685      0.1036700E-01
   0.1620408      0.1130416E-01
   0.1695052      0.1223552E-01
   0.1769619      0.1316018E-01
   0.1844132      0.1407774E-01
   0.1918615      0.1498827E-01
   0.1993080      0.1589171E-01
   0.2067530      0.1678790E-01
   0.2141958      0.1767653E-01
   0.2216356      0.1855722E-01
   0.2290723      0.1942965E-01
   0.2365066      0.2029360E-01
   0.2439396      0.2114895E-01
   0.2513729      0.2199580E-01
   0.2588071      0.2283428E-01
   0.2662422      0.2366441E-01
   0.2736777      0.2448617E-01
   0.2811124      0.2529936E-01
   0.2885453      0.2610366E-01
   0.2959762      0.2689882E-01
   0.3034053      0.2768465E-01
   0.3108336      0.2846103E-01
   0.3182622      0.2922798E-01
   0.3256915      0.2998555E-01
   0.3331214      0.3073369E-01
   0.3405509      0.3147230E-01
   0.3479782      0.3220118E-01
   0.3554017      0.3291984E-01
   0.3628205      0.3362775E-01
   0.3702346      0.3432451E-01
   0.3776454      0.3500979E-01
   0.3850549      0.3568340E-01
   0.3924653      0.3634552E-01
   0.3998776      0.3699632E-01
   0.4072917      0.3763589E-01
   0.4147059      0.3826420E-01
   0.4221173      0.3888104E-01
   0.4295228      0.3948565E-01
   0.4369204      0.4007714E-01
   0.4443092      0.4065472E-01
   0.4516901      0.4121772E-01
   0.4590648      0.4176559E-01
   0.4664360      0.4229821E-01
   0.4738057      0.4281563E-01
   0.4811750      0.4331787E-01
   0.4885442      0.4380487E-01
   0.4959130      0.4427649E-01
   0.5032800      0.4473247E-01
   0.5106440      0.4517236E-01
   0.5180041      0.4559577E-01
   0.5253595      0.4600231E-01
   0.5327096      0.4639160E-01
   0.5400540      0.4676326E-01
   0.5473926      0.4711685E-01
