K3311  (original)
    1.000000      0.5895346E-18
   0.9967698      0.6947515E-03
   0.9928560      0.1531956E-02
   0.9887194      0.2411333E-02
   0.9843375      0.3336752E-02
   0.9796863      0.4312161E-02
   0.9747418      0.5341300E-02
   0.9694825      0.6427206E-02
   0.9638927      0.7571431E-02
   0.9579688      0.8772910E-02
   0.9517267      0.1002657E-01
   0.9452089      0.1132207E-01
   0.9384844      0.1264467E-01
   0.9316718      0.1397073E-01
   0.9248948      0.1527673E-01
   0.9181097      0.1657182E-01
   0.9112837      0.1786284E-01
   0.9044767      0.1913908E-01
   0.8977208      0.2039536E-01
   0.8909956      0.2163689E-01
   0.8842802      0.2286970E-01
   0.8775591      0.2409877E-01
   0.8708228      0.2532802E-01
   0.8640668      0.2656036E-01
   0.8572928      0.2779771E-01
   0.8505080      0.2904094E-01
   0.8437255      0.3028900E-01
   0.8369587      0.3153626E-01
   0.8302165      0.3277651E-01
   0.8235035      0.3400453E-01
   0.8168197      0.3521599E-01
   0.8101611      0.3640745E-01
   0.8035195      0.3757621E-01
   0.7968833      0.3872036E-01
   0.7902391      0.3984230E-01
   0.7835767      0.4094835E-01
   0.7768897      0.4204429E-01
   0.7701762      0.4313529E-01
   0.7634385      0.4422592E-01
   0.7566834      0.4532007E-01
   0.7499228      0.4642097E-01
   0.7431722      0.4752909E-01
   0.7364459      0.4863708E-01
   0.7297531      0.4973652E-01
   0.7230982      0.5081997E-01
   0.7164813      0.5188101E-01
   0.7098981      0.5291408E-01
   0.7033407      0.5391438E-01
   0.6967974      0.5487795E-01
   0.6902555      0.5580779E-01
   0.6837051      0.5671350E-01
   0.6771395      0.5760444E-01
   0.6705553      0.5848953E-01
   0.6639524      0.5937740E-01
   0.6573339      0.6027634E-01
   0.6507067      0.6119426E-01
   0.6440806      0.6213661E-01
   0.6374646      0.6309729E-01
   0.6308643      0.6406665E-01
   0.6242818      0.6503555E-01
   0.6177163      0.6599546E-01
   0.6111638      0.6693843E-01
   0.6046174      0.6785700E-01
   0.5980671      0.6874415E-01
   0.5915013      0.6959687E-01
   0.5849102      0.7041866E-01
   0.5782868      0.7121319E-01
   0.5716271      0.7198377E-01
   0.5649299      0.7273340E-01
   0.5581976      0.7346477E-01
   0.5514359      0.7418034E-01
   0.5446541      0.7488202E-01
   0.5378630      0.7556914E-01
   0.5310711      0.7624012E-01
   0.5242844      0.7689372E-01
   0.5175062      0.7752898E-01
   0.5107375      0.7814523E-01
   0.5039765      0.7874202E-01
   0.4972190      0.7931911E-01
   0.4904592      0.7987689E-01
   0.4836924      0.8041622E-01
   0.4769160      0.8093783E-01
   0.4701295      0.8144222E-01
   0.4633350      0.8192975E-01
   0.4565366      0.8240067E-01
   0.4497408      0.8285508E-01
   0.4429561      0.8329236E-01
   0.4361904      0.8370955E-01
   0.4294496      0.8410340E-01
   0.4227368      0.8447094E-01
   0.4160531      0.8480943E-01
   0.4093971      0.8511634E-01
   0.4027656      0.8538925E-01
   0.3961532      0.8562593E-01
   0.3895538      0.8582576E-01
   0.3829614      0.8598936E-01
   0.3763707      0.8611723E-01
   0.3697772      0.8620977E-01
   0.3631770      0.8626723E-01
   0.3565665      0.8628981E-01
   0.3499429      0.8627761E-01
   0.3433039      0.8623085E-01
   0.3366483      0.8615024E-01
   0.3299762      0.8603670E-01
   0.3232895      0.8589116E-01
   0.3165920      0.8571469E-01
   0.3098889      0.8550847E-01
   0.3031874      0.8527386E-01
   0.2964964      0.8501230E-01
   0.2898254      0.8472336E-01
   0.2831818      0.8440474E-01
   0.2765698      0.8405408E-01
   0.2699906      0.8366900E-01
   0.2634427      0.8324701E-01
   0.2569219      0.8278547E-01
   0.2504215      0.8228149E-01
   0.2439325      0.8173231E-01
   0.2374457      0.8113743E-01
   0.2309548      0.8049714E-01
   0.2244562      0.7981182E-01
   0.2179493      0.7908216E-01
   0.2114364      0.7830916E-01
   0.2049232      0.7749431E-01
   0.1984181      0.7663963E-01
   0.1919325      0.7574618E-01
   0.1854773      0.7481218E-01
   0.1790608      0.7383544E-01
   0.1726886      0.7281364E-01
   0.1663637      0.7174433E-01
   0.1600868      0.7062482E-01
   0.1538566      0.6945215E-01
   0.1476696      0.6822302E-01
   0.1415210      0.6693514E-01
   0.1354058      0.6558794E-01
   0.1293193      0.6418076E-01
   0.1232569      0.6271278E-01
   0.1172144      0.6118297E-01
   0.1111875      0.5959014E-01
   0.1051722      0.5793286E-01
   0.9916447E-01  0.5620952E-01
   0.9316244E-01  0.5441897E-01
   0.8718435E-01  0.5256641E-01
   0.8128192E-01  0.5066891E-01
   0.7553295E-01  0.4875254E-01
   0.7000469E-01  0.4682645E-01
   0.6470478E-01  0.4487697E-01
   0.5959482E-01  0.4287649E-01
   0.5461060E-01  0.4079031E-01
