MH 112  Airfoil
    1.000000      0.2248872E-18
   0.9962682      0.1451628E-02
   0.9918071      0.3273231E-02
   0.9871386      0.5248172E-02
   0.9822412      0.7353516E-02
   0.9771172      0.9563883E-02
   0.9717678      0.1185355E-01
   0.9661829      0.1419981E-01
   0.9603491      0.1659878E-01
   0.9542547      0.1905214E-01
   0.9478878      0.2156173E-01
   0.9412386      0.2413154E-01
   0.9343035      0.2676683E-01
   0.9270883      0.2947141E-01
   0.9196114      0.3224541E-01
   0.9118997      0.3508060E-01
   0.9039841      0.3796623E-01
   0.8958957      0.4089205E-01
   0.8876634      0.4384837E-01
   0.8793135      0.4682461E-01
   0.8708706      0.4981069E-01
   0.8623566      0.5279780E-01
   0.8537893      0.5577849E-01
   0.8451839      0.5874616E-01
   0.8365537      0.6169499E-01
   0.8279097      0.6462009E-01
   0.8192604      0.6751743E-01
   0.8106126      0.7038354E-01
   0.8019718      0.7321544E-01
   0.7933420      0.7601066E-01
   0.7847260      0.7876721E-01
   0.7761259      0.8148356E-01
   0.7675432      0.8415834E-01
   0.7589794      0.8679030E-01
   0.7504359      0.8937826E-01
   0.7419138      0.9192112E-01
   0.7334145      0.9441769E-01
   0.7249390      0.9686677E-01
   0.7164886      0.9926720E-01
   0.7080643      0.1016179    
   0.6996676      0.1039177    
   0.6912991      0.1061655    
   0.6829594      0.1083602    
   0.6746476      0.1105009    
   0.6663626      0.1125869    
   0.6581024      0.1146179    
   0.6498643      0.1165936    
   0.6416458      0.1185142    
   0.6334446      0.1203800    
   0.6252584      0.1221909    
   0.6170849      0.1239472    
   0.6089220      0.1256487    
   0.6007679      0.1272958    
   0.5926213      0.1288886    
   0.5844813      0.1304273    
   0.5763477      0.1319119    
   0.5682204      0.1333424    
   0.5601001      0.1347187    
   0.5519874      0.1360403    
   0.5438830      0.1373071    
   0.5357875      0.1385187    
   0.5277016      0.1396749    
   0.5196257      0.1407755    
   0.5115603      0.1418202    
   0.5035061      0.1428088    
   0.4954638      0.1437411    
   0.4874344      0.1446168    
   0.4794187      0.1454357    
   0.4714179      0.1461976    
   0.4634332      0.1469022    
   0.4554662      0.1475490    
   0.4475186      0.1481376    
   0.4395923      0.1486677    
   0.4316896      0.1491390    
   0.4238129      0.1495512    
   0.4159643      0.1499037    
   0.4081456      0.1501956    
   0.4003576      0.1504264    
   0.3926004      0.1505954    
   0.3848736      0.1507021    
   0.3771760      0.1507459    
   0.3695062      0.1507268    
   0.3618628      0.1506445    
   0.3542440      0.1504990    
   0.3466480      0.1502901    
   0.3390730      0.1500175    
   0.3315169      0.1496810    
   0.3239788      0.1492812    
   0.3164589      0.1488188    
   0.3089590      0.1482946    
   0.3014824      0.1477095    
   0.2940334      0.1470647    
   0.2866177      0.1463609    
