NASA  NLF1015
    1.000000     -0.2371692E-19
   0.9968509      0.1334670E-02
   0.9928874      0.3110853E-02
   0.9885167      0.5155700E-02
   0.9837605      0.7419576E-02
   0.9787599      0.9789007E-02
   0.9736507      0.1215357E-01
   0.9684598      0.1445797E-01
   0.9631469      0.1671130E-01
   0.9576775      0.1893078E-01
   0.9520326      0.2112605E-01
   0.9462118      0.2330187E-01
   0.9402246      0.2546361E-01
   0.9340872      0.2761699E-01
   0.9278224      0.2976748E-01
   0.9214569      0.3191456E-01
   0.9150147      0.3405332E-01
   0.9085171      0.3618042E-01
   0.9019804      0.3829452E-01
   0.8954160      0.4039502E-01
   0.8888311      0.4248002E-01
   0.8822311      0.4454793E-01
   0.8756196      0.4659782E-01
   0.8689983      0.4862937E-01
   0.8623676      0.5064274E-01
   0.8557272      0.5263821E-01
   0.8490776      0.5461594E-01
   0.8424195      0.5657599E-01
   0.8357537      0.5851835E-01
   0.8290817      0.6044278E-01
   0.8224047      0.6234876E-01
   0.8157239      0.6423572E-01
   0.8090403      0.6610315E-01
   0.8023549      0.6795058E-01
   0.7956685      0.6977758E-01
   0.7889818      0.7158361E-01
   0.7822954      0.7336795E-01
   0.7756094      0.7512992E-01
   0.7689243      0.7686888E-01
   0.7622400      0.7858425E-01
   0.7555565      0.8027546E-01
   0.7488737      0.8194201E-01
   0.7421914      0.8358340E-01
   0.7355096      0.8519912E-01
   0.7288282      0.8678865E-01
   0.7221472      0.8835148E-01
   0.7154666      0.8988709E-01
   0.7087864      0.9139488E-01
   0.7021071      0.9287393E-01
   0.6954294      0.9432322E-01
   0.6887547      0.9574160E-01
   0.6820847      0.9712788E-01
   0.6754217      0.9848082E-01
   0.6687684      0.9979910E-01
   0.6621277      0.1010808    
   0.6555014      0.1023237    
   0.6488906      0.1035258    
   0.6422950      0.1046853    
   0.6357138      0.1058005    
   0.6291449      0.1068702    
   0.6225855      0.1078932    
   0.6160328      0.1088692    
   0.6094838      0.1097983    
   0.6029358      0.1106807    
   0.5963861      0.1115163    
   0.5898320      0.1123049    
   0.5832710      0.1130463    
   0.5767006      0.1137404    
   0.5701185      0.1143881    
   0.5635229      0.1149905    
   0.5569125      0.1155486    
   0.5502863      0.1160635    
   0.5436440      0.1165361    
   0.5369855      0.1169671    
   0.5303112      0.1173575    
   0.5236219      0.1177081    
   0.5169183      0.1180196    
   0.5102013      0.1182928    
   0.5034722      0.1185286    
   0.4967323      0.1187279    
   0.4899829      0.1188915    
   0.4832258      0.1190202    
   0.4764624      0.1191143    
   0.4696941      0.1191740    
   0.4629219      0.1191995    
   0.4561468      0.1191912    
   0.4493694      0.1191492    
   0.4425903      0.1190738    
   0.4358097      0.1189654    
   0.4290278      0.1188239    
   0.4222451      0.1186496    
   0.4154618      0.1184425    
   0.4086785      0.1182027    
   0.4018958      0.1179303    
   0.3951141      0.1176255    
   0.3883342      0.1172883    
   0.3815567      0.1169186    
   0.3747823      0.1165164    
   0.3680115      0.1160815    
   0.3612446      0.1156138    
   0.3544822      0.1151134    
   0.3477244      0.1145800    
   0.3409717      0.1140135    
   0.3342243      0.1134137    
   0.3274826      0.1127805    
   0.3207471      0.1121137    
   0.3140181      0.1114131    
   0.3072963      0.1106784    
   0.3005820      0.1099097    
   0.2938759      0.1091064    
   0.2871788      0.1082684    
   0.2804913      0.1073952    
   0.2738141      0.1064866    
   0.2671483      0.1055423    
   0.2604945      0.1045620    
   0.2538539      0.1035454    
   0.2472272      0.1024918    
   0.2406154      0.1014007    
   0.2340191      0.1002717    
   0.2274391      0.9910401E-01
   0.2208758      0.9789723E-01
   0.2143297      0.9665071E-01
   0.2078018      0.9536374E-01
   0.2012931      0.9403571E-01
   0.1948047      0.9266607E-01
   0.1883382      0.9125435E-01
   0.1818953      0.8980015E-01
   0.1754781      0.8830288E-01
   0.1690885      0.8676166E-01
   0.1627289      0.8517570E-01
   0.1564010      0.8354422E-01
   0.1501068      0.8186652E-01
   0.1438483      0.8014182E-01
   0.1376280      0.7836890E-01
   0.1314496      0.7654671E-01
   0.1253173      0.7467459E-01
   0.1192360      0.7275230E-01
   0.1132113      0.7077999E-01
   0.1072492      0.6875741E-01
   0.1013541      0.6668369E-01
   0.9552881E-01  0.6455759E-01
   0.8977449E-01  0.6237749E-01
   0.8409120E-01  0.6014124E-01
   0.7848394E-01  0.5784699E-01
   0.7296970E-01  0.5549764E-01
   0.6757592E-01  0.5310222E-01
   0.6233650E-01  0.5067522E-01
   0.5728580E-01  0.4823321E-01
   0.5244286E-01  0.4578552E-01
   0.4780519E-01  0.4333242E-01
   0.4335655E-01  0.4086746E-01
   0.3907456E-01  0.3837964E-01
   0.3496480E-01  0.3587095E-01
   0.3109729E-01  0.3338651E-01
   0.2756262E-01  0.3099737E-01
   0.2441587E-01  0.2876400E-01
   0.2165783E-01  0.2671030E-01
   0.1924082E-01  0.2481677E-01
   0.1709963E-01  0.2304830E-01
   0.1517697E-01  0.2137156E-01
   0.1342820E-01  0.1975868E-01
   0.1181974E-01  0.1818696E-01
   0.1032595E-01  0.1663996E-01
   0.8937419E-02  0.1512014E-01
   0.7660225E-02  0.1364805E-01
   0.6502493E-02  0.1224921E-01
   0.5465716E-02  0.1094260E-01
   0.4543082E-02  0.9735978E-02
   0.3722450E-02  0.8627450E-02
   0.2996346E-02  0.7608522E-02
   0.2364010E-02  0.6664544E-02
   0.1819468E-02  0.5779863E-02
   0.1355468E-02  0.4940964E-02
   0.9655956E-03  0.4136716E-02
   0.6448760E-03  0.3357947E-02
   0.3898675E-03  0.2596899E-02
   0.1986240E-03  0.1846737E-02
   0.7068749E-04  0.1101119E-02
   0.7169227E-05  0.3537913E-03
   0.8946557E-05 -0.4000714E-03
   0.7391567E-04 -0.1161100E-02
   0.2010713E-03 -0.1928787E-02
   0.3909693E-03 -0.2701968E-02
   0.6455710E-03 -0.3478613E-02
   0.9681819E-03 -0.4255485E-02
   0.1363428E-02 -0.5027624E-02
   0.1837201E-02 -0.5787576E-02
