R140  12.04% (smoothed)
    1.000000     -0.3811648E-20
   0.9968325      0.4767246E-03
   0.9928590      0.1069575E-02
   0.9884864      0.1715327E-02
   0.9836592      0.2420126E-02
   0.9783401      0.3186926E-02
   0.9725440      0.4010759E-02
   0.9663877      0.4873213E-02
   0.9602157      0.5729088E-02
   0.9540601      0.6579044E-02
   0.9478381      0.7439715E-02
   0.9416271      0.8305487E-02
   0.9354567      0.9174050E-02
   0.9292850      0.1005006E-01
   0.9230877      0.1093573E-01
   0.9168582      0.1183074E-01
   0.9106072      0.1273259E-01
   0.9043559      0.1363784E-01
   0.8981034      0.1454626E-01
   0.8918534      0.1545699E-01
   0.8856105      0.1636894E-01
   0.8793718      0.1728153E-01
   0.8731347      0.1819369E-01
   0.8668982      0.1910409E-01
   0.8606627      0.2001122E-01
   0.8544300      0.2091346E-01
   0.8482018      0.2180944E-01
   0.8419783      0.2269798E-01
   0.8357587      0.2357808E-01
   0.8295412      0.2444901E-01
   0.8233233      0.2531097E-01
   0.8171035      0.2616445E-01
   0.8108804      0.2700986E-01
   0.8046538      0.2784749E-01
   0.7984238      0.2867759E-01
   0.7921908      0.2950034E-01
   0.7859557      0.3031590E-01
   0.7797194      0.3112443E-01
   0.7734830      0.3192599E-01
   0.7672473      0.3272041E-01
   0.7610121      0.3350756E-01
   0.7547762      0.3428744E-01
   0.7485374      0.3506019E-01
   0.7422932      0.3582662E-01
   0.7360423      0.3658797E-01
   0.7297852      0.3734529E-01
   0.7235241      0.3809944E-01
   0.7172630      0.3885061E-01
   0.7110052      0.3959771E-01
   0.7047519      0.4033965E-01
   0.6985026      0.4107557E-01
   0.6922545      0.4180494E-01
   0.6860044      0.4252834E-01
   0.6797503      0.4324667E-01
   0.6734917      0.4396067E-01
   0.6672297      0.4467091E-01
   0.6609667      0.4537728E-01
   0.6547048      0.4607908E-01
   0.6484453      0.4677560E-01
   0.6421890      0.4746624E-01
   0.6359355      0.4815050E-01
   0.6296845      0.4882795E-01
   0.6234351      0.4949821E-01
   0.6171866      0.5016089E-01
   0.6109380      0.5081563E-01
   0.6046887      0.5146222E-01
   0.5984385      0.5210060E-01
   0.5921878      0.5273066E-01
   0.5859380      0.5335218E-01
   0.5796909      0.5396454E-01
   0.5734479      0.5456652E-01
   0.5672095      0.5515697E-01
   0.5609753      0.5573479E-01
   0.5547440      0.5629912E-01
   0.5485145      0.5684955E-01
   0.5422860      0.5738567E-01
   0.5360579      0.5790705E-01
