S1221  w/ 4 deg flap
    1.000010      0.2944086E-07
   0.9968019      0.1666823E-02
   0.9930860      0.3772276E-02
   0.9892792      0.5890520E-02
   0.9853953      0.7919520E-02
   0.9813994      0.9829432E-02
   0.9772347      0.1162508E-01
   0.9728224      0.1332740E-01
   0.9680913      0.1498974E-01
   0.9630139      0.1666230E-01
   0.9576063      0.1835570E-01
   0.9518619      0.2006589E-01
   0.9457146      0.2181673E-01
   0.9391259      0.2364889E-01
   0.9321336      0.2555253E-01
   0.9248135      0.2750276E-01
   0.9172697      0.2946959E-01
   0.9096154      0.3142342E-01
   0.9019509      0.3334042E-01
   0.8943478      0.3520579E-01
   0.8868439      0.3701403E-01
   0.8794461      0.3876732E-01
   0.8721355      0.4047360E-01
   0.8648763      0.4214270E-01
   0.8576398      0.4377961E-01
   0.8504157      0.4538451E-01
   0.8432120      0.4695358E-01
   0.8360539      0.4847954E-01
   0.8289752      0.4994982E-01
   0.8219834      0.5134955E-01
   0.8150496      0.5267361E-01
   0.8081442      0.5392459E-01
   0.8012576      0.5510114E-01
   0.7943669      0.5619805E-01
   0.7874022      0.5721756E-01
   0.7802803      0.5818739E-01
   0.7729706      0.5913950E-01
   0.7654955      0.6008447E-01
   0.7578882      0.6102183E-01
   0.7501816      0.6195197E-01
   0.7424052      0.6287638E-01
   0.7345829      0.6379772E-01
   0.7267317      0.6471976E-01
   0.7188608      0.6564681E-01
   0.7109739      0.6658026E-01
   0.7030745      0.6752011E-01
   0.6951663      0.6846626E-01
   0.6872538      0.6941857E-01
   0.6793416      0.7037685E-01
   0.6714349      0.7134080E-01
   0.6635393      0.7231011E-01
   0.6556607      0.7328436E-01
   0.6478052      0.7426288E-01
   0.6399746      0.7523700E-01
   0.6321568      0.7619571E-01
   0.6243381      0.7714059E-01
   0.6165096      0.7807398E-01
   0.6086679      0.7899753E-01
   0.6008146      0.7991227E-01
   0.5929554      0.8081805E-01
   0.5850952      0.8171411E-01
   0.5772368      0.8259992E-01
   0.5693809      0.8347520E-01
   0.5615261      0.8433991E-01
   0.5536697      0.8519444E-01
   0.5458097      0.8603926E-01
   0.5379451      0.8687473E-01
   0.5300758      0.8770110E-01
   0.5222029      0.8851851E-01
   0.5143276      0.8932692E-01
   0.5064511      0.9012627E-01
   0.4985741      0.9091656E-01
   0.4906971      0.9169779E-01
   0.4828203      0.9247001E-01
   0.4749440      0.9323308E-01
   0.4670700      0.9398676E-01
   0.4592011      0.9473069E-01
   0.4513412      0.9546443E-01
   0.4434952      0.9618707E-01
   0.4356675      0.9689682E-01
   0.4278611      0.9759192E-01
   0.4200775      0.9827074E-01
   0.4123170      0.9893185E-01
   0.4045791      0.9957398E-01
   0.3968633      0.1001960    
   0.3891699      0.1007967    
   0.3815001      0.1013749    
   0.3738555      0.1019294    
   0.3662385      0.1024582    
   0.3586523      0.1029594    
   0.3511012      0.1034308    
   0.3435898      0.1038703    
   0.3361237      0.1042758    
   0.3287059      0.1046445    
   0.3213359      0.1049740    
   0.3140087      0.1052620    
   0.3067159      0.1055061    
   0.2994480      0.1057056    
   0.2922021      0.1058609    
   0.2849841      0.1059722    
   0.2778090      0.1060400    
   0.2706984      0.1060638    
   0.2636728      0.1060381    
   0.2567433      0.1059570    
   0.2499121      0.1058152    
   0.2431743      0.1056079    
   0.2365205      0.1053316    
   0.2299399      0.1049837    
   0.2234212      0.1045613    
   0.2169521      0.1040609    
   0.2105201      0.1034800    
   0.2041165      0.1028189    
   0.1977382      0.1020784    
   0.1913884      0.1012599    
   0.1850752      0.1003654    
   0.1788073      0.9939477E-01
   0.1725880      0.9834654E-01
   0.1664146      0.9721848E-01
   0.1602797      0.9600759E-01
   0.1541746      0.9471312E-01
   0.1480963      0.9333621E-01
   0.1420480      0.9187934E-01
   0.1360387      0.9034625E-01
