S1221  w/o flap
    1.000005     -0.5565386E-07
   0.9967247      0.1483964E-02
   0.9929016      0.3373468E-02
   0.9889966      0.5277357E-02
   0.9850287      0.7080624E-02
   0.9809488      0.8752153E-02
   0.9766948      0.1030546E-01
   0.9721975      0.1176038E-01
   0.9673955      0.1315889E-01
   0.9622627      0.1454275E-01
   0.9568066      0.1592302E-01
   0.9510113      0.1729806E-01
   0.9448041      0.1869035E-01
   0.9381410      0.2014377E-01
   0.9310586      0.2165190E-01
   0.9236352      0.2319336E-01
   0.9159810      0.2474229E-01
   0.9082167      0.2627319E-01
   0.9004511      0.2776545E-01
   0.8927619      0.2920633E-01
   0.8851906      0.3059103E-01
   0.8777463      0.3192104E-01
   0.8704116      0.3320233E-01
   0.8631517      0.3444344E-01
   0.8559308      0.3565238E-01
   0.8487196      0.3683563E-01
   0.8414937      0.3799838E-01
   0.8342332      0.3914490E-01
   0.8269221      0.4027862E-01
   0.8195481      0.4140224E-01
   0.8121035      0.4251775E-01
   0.8045851      0.4362645E-01
   0.7969955      0.4472884E-01
   0.7893426      0.4582477E-01
   0.7816370      0.4691393E-01
   0.7738887      0.4799620E-01
   0.7661072      0.4907164E-01
   0.7583011      0.5014054E-01
   0.7504783      0.5120336E-01
   0.7426453      0.5226079E-01
   0.7348077      0.5331368E-01
   0.7269698      0.5436306E-01
   0.7191346      0.5541014E-01
   0.7113043      0.5645599E-01
   0.7034810      0.5750155E-01
   0.6956664      0.5854776E-01
   0.6878627      0.5959554E-01
   0.6800718      0.6064581E-01
   0.6722956      0.6169947E-01
   0.6645362      0.6275741E-01
   0.6567953      0.6382049E-01
   0.6490750      0.6488954E-01
   0.6413752      0.6595992E-01
   0.6336868      0.6701735E-01
   0.6259975      0.6806087E-01
   0.6182993      0.6909278E-01
   0.6105883      0.7011477E-01
   0.6028650      0.7112795E-01
   0.5951336      0.7213260E-01
   0.5873990      0.7312804E-01
   0.5796642      0.7411373E-01
   0.5719306      0.7508935E-01
   0.5641978      0.7605480E-01
   0.5564640      0.7701031E-01
   0.5487273      0.7795629E-01
   0.5409867      0.7889310E-01
   0.5332417      0.7982099E-01
   0.5254928      0.8074010E-01
   0.5177411      0.8165046E-01
   0.5099877      0.8255202E-01
   0.5022332      0.8344476E-01
   0.4944782      0.8432868E-01
   0.4867230      0.8520384E-01
   0.4789678      0.8607018E-01
   0.4712135      0.8692752E-01
   0.4634622      0.8777552E-01
   0.4557172      0.8861375E-01
   0.4479827      0.8944165E-01
   0.4402631      0.9025783E-01
   0.4325621      0.9106045E-01
   0.4248817      0.9184785E-01
   0.4172230      0.9261854E-01
   0.4095857      0.9337119E-01
   0.4019691      0.9410464E-01
   0.3943732      0.9481778E-01
   0.3867985      0.9550946E-01
   0.3792461      0.9617849E-01
   0.3717178      0.9682352E-01
   0.3642162      0.9744255E-01
   0.3567445      0.9803346E-01
   0.3493070      0.9859417E-01
   0.3419084      0.9912264E-01
   0.3345535      0.9961657E-01
   0.3272446      0.1000732    
   0.3199795      0.1004902    
   0.3127527      0.1008654    
   0.3055552      0.1011970    
   0.2983789      0.1014845    
   0.2912228      0.1017286    
   0.2840950      0.1019293    
   0.2770113      0.1020868    
   0.2699935      0.1021994    
   0.2630596      0.1022610    
   0.2562184      0.1022657    
   0.2494706      0.1022084    
   0.2428105      0.1020847    
   0.2362286      0.1018915    
   0.2297145      0.1016262    
   0.2232569      0.1012862    
   0.2168441      0.1008682    
   0.2104641      0.1003701    
   0.2041091      0.9979261E-01
   0.1977774      0.9913657E-01
   0.1914727      0.9840348E-01
   0.1852036      0.9759488E-01
   0.1789780      0.9671024E-01
   0.1727985      0.9574805E-01
   0.1666619      0.9470599E-01
   0.1605603      0.9358125E-01
   0.1544856      0.9237348E-01
   0.1484355      0.9108391E-01
   0.1424135      0.8971500E-01
   0.1364290      0.8827025E-01
   0.1304933      0.8675207E-01
   0.1246158      0.8516238E-01
   0.1188035      0.8350292E-01
   0.1130616      0.8177530E-01
   0.1073972      0.7998195E-01
   0.1018208      0.7812692E-01
   0.9634538E-01  0.7621583E-01
   0.9098592E-01  0.7425401E-01
   0.8575602E-01  0.7224552E-01
   0.8066625E-01  0.7019449E-01
   0.7572441E-01  0.6810516E-01
   0.7093797E-01  0.6598307E-01
   0.6631584E-01  0.6383564E-01
   0.6186705E-01  0.6167155E-01
   0.5760010E-01  0.5949996E-01
   0.5352392E-01  0.5733054E-01
   0.4964647E-01  0.5517381E-01
   0.4597291E-01  0.5304015E-01
   0.4250584E-01  0.5093802E-01
   0.3924519E-01  0.4887356E-01
   0.3618700E-01  0.4685156E-01
   0.3332407E-01  0.4487546E-01
   0.3064750E-01  0.4294772E-01
   0.2814881E-01  0.4107101E-01
   0.2581953E-01  0.3924796E-01
   0.2365062E-01  0.3748057E-01
   0.2163265E-01  0.3576973E-01
   0.1975803E-01  0.3411349E-01
   0.1801929E-01  0.3250840E-01
   0.1640795E-01  0.3095097E-01
   0.1491518E-01  0.2943779E-01
   0.1353224E-01  0.2796566E-01
   0.1225126E-01  0.2653182E-01
   0.1106535E-01  0.2513401E-01
   0.9967996E-02  0.2377015E-01
   0.8953073E-02  0.2243829E-01
   0.8014850E-02  0.2113659E-01
   0.7148010E-02  0.1986335E-01
   0.6348022E-02  0.1861737E-01
   0.5611361E-02  0.1739827E-01
   0.4934788E-02  0.1620577E-01
   0.4315219E-02  0.1503964E-01
   0.3749693E-02  0.1389963E-01
   0.3235357E-02  0.1278541E-01
   0.2769444E-02  0.1169665E-01
   0.2348839E-02  0.1063285E-01
   0.1969984E-02  0.9593230E-02
   0.1629534E-02  0.8576725E-02
   0.1324429E-02  0.7582124E-02
   0.1051900E-02  0.6608143E-02
   0.8094597E-03  0.5653475E-02
   0.5948843E-03  0.4716831E-02
   0.4067329E-03  0.3797037E-02
   0.2483945E-03  0.2893520E-02
   0.1251463E-03  0.2005503E-02
   0.4169802E-04  0.1131667E-02
   0.2484431E-05  0.2702826E-03
   0.1196183E-04 -0.5807007E-03
   0.7490294E-04 -0.1423631E-02
   0.1967183E-03 -0.2261170E-02
   0.3825650E-03 -0.3094682E-02
   0.6344846E-03 -0.3919769E-02
   0.9547517E-03 -0.4730006E-02
   0.1346770E-02 -0.5517782E-02
   0.1815085E-02 -0.6273917E-02
   0.2365434E-02 -0.6987175E-02
   0.3003860E-02 -0.7645754E-02
   0.3730936E-02 -0.8249743E-02
   0.4544355E-02 -0.8805120E-02
   0.5440889E-02 -0.9318713E-02
   0.6415680E-02 -0.9798652E-02
   0.7461197E-02 -0.1025497E-01
   0.8565830E-02 -0.1070029E-01
   0.9719690E-02 -0.1114482E-01
   0.1092480E-01 -0.1158910E-01
   0.1218520E-01 -0.1203238E-01
   0.1350560E-01 -0.1247396E-01
   0.1489158E-01 -0.1291330E-01
   0.1635014E-01 -0.1335009E-01
   0.1789037E-01 -0.1378448E-01
   0.1952350E-01 -0.1421709E-01
   0.2126030E-01 -0.1464859E-01
   0.2311252E-01 -0.1507982E-01
   0.2509335E-01 -0.1551192E-01
   0.2721714E-01 -0.1594642E-01
   0.2949881E-01 -0.1638538E-01
   0.3195267E-01 -0.1683134E-01
   0.3459470E-01 -0.1728484E-01
   0.3744341E-01 -0.1774464E-01
   0.4051735E-01 -0.1820907E-01
   0.4383346E-01 -0.1867595E-01
   0.4740928E-01 -0.1914320E-01
   0.5126641E-01 -0.1960888E-01
   0.5542590E-01 -0.2007047E-01
   0.5990315E-01 -0.2052503E-01
   0.6470420E-01 -0.2096959E-01
   0.6982378E-01 -0.2140037E-01
   0.7524506E-01 -0.2181066E-01
   0.8094103E-01 -0.2219352E-01
   0.8688214E-01 -0.2254323E-01
   0.9304417E-01 -0.2285570E-01
   0.9940190E-01 -0.2312799E-01
   0.1059254     -0.2335827E-01
   0.1125826     -0.2354583E-01
   0.1193428     -0.2368923E-01
   0.1261792     -0.2378693E-01
   0.1330714     -0.2383815E-01
   0.1400069     -0.2384261E-01
   0.1469747     -0.2379995E-01
   0.1539593     -0.2371010E-01
   0.1609395     -0.2357356E-01
   0.1678899     -0.2338995E-01
   0.1747920     -0.2315443E-01
   0.1816426     -0.2286122E-01
   0.1884532     -0.2250408E-01
   0.1952483     -0.2207676E-01
   0.2020588     -0.2157905E-01
   0.2089122     -0.2101288E-01
   0.2158315     -0.2037974E-01
   0.2228356     -0.1968102E-01
   0.2299392     -0.1891961E-01
   0.2371523     -0.1810112E-01
   0.2444778     -0.1723278E-01
   0.2519103     -0.1632375E-01
