SPICA  11.73% smoothed
    1.000000     -0.3659176E-18
   0.9965247      0.8660318E-03
   0.9923275      0.1903497E-02
   0.9879092      0.2985591E-02
   0.9832503      0.4115482E-02
   0.9783312      0.5296153E-02
   0.9731328      0.6530085E-02
   0.9676391      0.7818772E-02
   0.9618399      0.9162042E-02
   0.9557351      0.1055718E-01
   0.9493398      0.1199792E-01
   0.9426888      0.1347409E-01
   0.9358323      0.1497355E-01
   0.9288264      0.1648386E-01
   0.9217253      0.1799389E-01
   0.9145739      0.1949520E-01
   0.9074024      0.2098287E-01
   0.9002245      0.2245576E-01
   0.8930367      0.2391628E-01
   0.8858273      0.2536838E-01
   0.8785868      0.2681559E-01
   0.8713085      0.2826080E-01
   0.8639891      0.2970630E-01
   0.8566285      0.3115376E-01
   0.8492303      0.3260415E-01
   0.8418019      0.3405753E-01
   0.8343517      0.3551283E-01
   0.8268875      0.3696894E-01
   0.8194162      0.3842496E-01
   0.8119437      0.3988019E-01
   0.8044750      0.4133412E-01
   0.7970137      0.4278644E-01
   0.7895626      0.4423647E-01
   0.7821230      0.4568289E-01
   0.7746955      0.4712455E-01
   0.7672798      0.4856048E-01
   0.7598745      0.4998989E-01
   0.7524774      0.5141216E-01
   0.7450856      0.5282691E-01
   0.7376959      0.5423439E-01
   0.7303059      0.5563509E-01
   0.7229145      0.5702931E-01
   0.7155217      0.5841712E-01
   0.7081285      0.5979838E-01
   0.7007370      0.6117276E-01
   0.6933505      0.6253964E-01
   0.6859719      0.6389771E-01
   0.6786036      0.6524565E-01
   0.6712464      0.6658235E-01
   0.6639004      0.6790692E-01
   0.6565644      0.6921866E-01
   0.6492363      0.7051708E-01
   0.6419129      0.7180204E-01
   0.6345913      0.7307403E-01
   0.6272694      0.7433356E-01
   0.6199457      0.7558095E-01
   0.6126196      0.7681642E-01
   0.6052911      0.7804004E-01
   0.5979610      0.7925176E-01
   0.5906309      0.8045120E-01
   0.5833028      0.8163746E-01
   0.5759791      0.8280957E-01
   0.5686628      0.8396650E-01
   0.5613569      0.8510720E-01
   0.5540653      0.8623057E-01
   0.5467919      0.8733549E-01
   0.5395408      0.8842003E-01
   0.5323152      0.8948139E-01
   0.5251175      0.9051694E-01
   0.5179495      0.9152428E-01
   0.5108120      0.9250118E-01
   0.5037051      0.9344560E-01
   0.4966282      0.9435566E-01
   0.4895802      0.9522988E-01
   0.4825591      0.9606719E-01
   0.4755620      0.9686665E-01
   0.4685851      0.9762740E-01
   0.4616237      0.9834863E-01
   0.4546720      0.9902951E-01
   0.4477236      0.9966923E-01
   0.4407714      0.1002678    
   0.4338097      0.1008264    
   0.4268350      0.1013463    
   0.4198459      0.1018283    
   0.4128432      0.1022732    
   0.4058301      0.1026816    
   0.3988118      0.1030540    
   0.3917957      0.1033906    
   0.3847889      0.1036898    
   0.3777962      0.1039504    
   0.3708209      0.1041710    
   0.3638639      0.1043507    
   0.3569245      0.1044884    
   0.3500003      0.1045832    
   0.3430869      0.1046341    
   0.3361801      0.1046412    
   0.3292767      0.1046046    
   0.3223749      0.1045243    
   0.3154740      0.1044003    
   0.3085745      0.1042326    
   0.3016782      0.1040212    
   0.2947882      0.1037664    
   0.2879079      0.1034677    
   0.2810404      0.1031247    
   0.2741878      0.1027370    
   0.2673512      0.1023041    
   0.2605311      0.1018254    
   0.2537272      0.1013006    
   0.2469384      0.1007289    
   0.2401633      0.1001097    
   0.2334020      0.9944211E-01
   0.2266562      0.9872568E-01
   0.2199297      0.9796011E-01
   0.2132278      0.9714545E-01
   0.2065575      0.9628212E-01
   0.1999274      0.9537099E-01
   0.1933470      0.9441282E-01
   0.1868256      0.9340633E-01
   0.1803699      0.9234974E-01
   0.1739834      0.9124113E-01
   0.1676676      0.9007846E-01
   0.1614217      0.8885948E-01
   0.1552429      0.8758170E-01
   0.1491271      0.8624225E-01
   0.1430691      0.8483818E-01
   0.1370665      0.8336737E-01
   0.1311201      0.8182857E-01
   0.1252336      0.8022141E-01
   0.1194138      0.7854658E-01
   0.1136697      0.7680590E-01
   0.1080118      0.7500236E-01
   0.1024522      0.7314013E-01
   0.9700352E-01  0.7122433E-01
   0.9167745E-01  0.6925872E-01
   0.8648133E-01  0.6724455E-01
   0.8141721E-01  0.6518191E-01
   0.7648330E-01  0.6307022E-01
   0.7167971E-01  0.6091343E-01
   0.6701550E-01  0.5872167E-01
   0.6250673E-01  0.5650919E-01
   0.5817252E-01  0.5429288E-01
   0.5403157E-01  0.5208547E-01
   0.5009826E-01  0.4989386E-01
   0.4638045E-01  0.4772456E-01
   0.4287962E-01  0.4558339E-01
   0.3959189E-01  0.4347507E-01
   0.3651087E-01  0.4140541E-01
   0.3363106E-01  0.3938408E-01
   0.3094458E-01  0.3741848E-01
   0.2844153E-01  0.3551316E-01
   0.2611081E-01  0.3367049E-01
   0.2394088E-01  0.3189114E-01
   0.2192019E-01  0.3017457E-01
   0.2003757E-01  0.2851940E-01
   0.1828071E-01  0.2692166E-01
   0.1663498E-01  0.2537305E-01
   0.1509131E-01  0.2387053E-01
   0.1364418E-01  0.2241515E-01
   0.1228892E-01  0.2100932E-01
   0.1102038E-01  0.1965500E-01
   0.9832696E-02  0.1835299E-01
   0.8724146E-02  0.1710423E-01
   0.7698581E-02  0.1590942E-01
   0.6755412E-02  0.1476602E-01
   0.5891232E-02  0.1366986E-01
   0.5101583E-02  0.1261634E-01
   0.4381846E-02  0.1160096E-01
   0.3727656E-02  0.1061953E-01
   0.3135080E-02  0.9668302E-02
   0.2600675E-02  0.8743897E-02
   0.2121479E-02  0.7843315E-02
   0.1694992E-02  0.6963879E-02
   0.1319137E-02  0.6103190E-02
   0.9922304E-03  0.5259080E-02
   0.7129494E-03  0.4429580E-02
   0.4803098E-03  0.3612878E-02
   0.2936484E-03  0.2807295E-02
   0.1526125E-03  0.2011250E-02
   0.5715706E-04  0.1223237E-02
   0.7549105E-05  0.4418043E-03
   0.4380895E-05 -0.3344761E-03
   0.4859264E-04 -0.1107028E-02
   0.1415069E-03 -0.1877299E-02
   0.2842771E-03 -0.2646517E-02
   0.4759675E-03 -0.3414780E-02
   0.7153857E-03 -0.4181785E-02
   0.1001709E-02 -0.4947105E-02
   0.1334443E-02 -0.5710178E-02
   0.1713401E-02 -0.6470286E-02
   0.2138676E-02 -0.7226527E-02
   0.2610638E-02 -0.7977784E-02
   0.3129920E-02 -0.8722681E-02
   0.3697422E-02 -0.9459524E-02
   0.4314308E-02 -0.1018623E-01
   0.4982008E-02 -0.1090023E-01
   0.5702222E-02 -0.1159835E-01
   0.6476911E-02 -0.1227665E-01
   0.7308289E-02 -0.1293023E-01
   0.8198784E-02 -0.1355293E-01
   0.9150970E-02 -0.1413700E-01
   0.1016744E-01 -0.1467263E-01
   0.1125117E-01 -0.1514995E-01
   0.1240739E-01 -0.1556755E-01
   0.1364248E-01 -0.1592714E-01
   0.1496346E-01 -0.1623181E-01
   0.1637786E-01 -0.1648671E-01
   0.1789334E-01 -0.1670021E-01
   0.1951684E-01 -0.1688546E-01
   0.2125339E-01 -0.1706144E-01
   0.2310970E-01 -0.1723722E-01
   0.2509474E-01 -0.1741055E-01
