SIKORSKY SSC-A09  AIRFOIL
    1.000001      0.1605496E-02
   0.9968984      0.1420938E-02
   0.9929611      0.1264216E-02
   0.9886588      0.1187778E-02
   0.9840398      0.1206583E-02
   0.9791319      0.1329442E-02
   0.9739517      0.1559811E-02
   0.9685342      0.1896603E-02
   0.9629250      0.2336116E-02
   0.9571652      0.2870359E-02
   0.9512796      0.3489063E-02
   0.9452749      0.4184339E-02
   0.9391563      0.4949017E-02
   0.9329327      0.5774085E-02
   0.9266165      0.6650217E-02
   0.9202203      0.7569207E-02
   0.9137541      0.8522492E-02
   0.9072258      0.9502240E-02
   0.9006454      0.1050204E-01
   0.8940276      0.1151467E-01
   0.8873912      0.1253268E-01
   0.8807526      0.1355037E-01
   0.8741200      0.1456343E-01
   0.8674947      0.1556927E-01
   0.8608743      0.1656718E-01
   0.8542558      0.1755674E-01
   0.8476356      0.1853799E-01
   0.8410109      0.1951178E-01
   0.8343801      0.2047891E-01
   0.8277430      0.2143997E-01
   0.8211000      0.2239551E-01
   0.8144519      0.2334601E-01
   0.8077997      0.2429186E-01
   0.8011448      0.2523307E-01
   0.7944900      0.2616953E-01
   0.7878386      0.2710070E-01
   0.7811938      0.2802529E-01
   0.7745589      0.2894198E-01
   0.7679364      0.2984927E-01
   0.7613281      0.3074529E-01
   0.7547345      0.3162826E-01
   0.7481553      0.3249659E-01
   0.7415895      0.3334882E-01
   0.7350366      0.3418351E-01
   0.7284961      0.3499926E-01
   0.7219667      0.3579487E-01
   0.7154461      0.3656932E-01
   0.7089306      0.3732196E-01
   0.7024167      0.3805289E-01
   0.6959019      0.3876221E-01
   0.6893845      0.3944998E-01
   0.6828635      0.4011648E-01
   0.6763375      0.4076207E-01
   0.6698050      0.4138718E-01
   0.6632645      0.4199255E-01
   0.6567148      0.4257903E-01
   0.6501549      0.4314741E-01
   0.6435844      0.4369861E-01
   0.6370038      0.4423355E-01
   0.6304142      0.4475304E-01
   0.6238171      0.4525754E-01
   0.6172137      0.4574748E-01
   0.6106044      0.4622331E-01
   0.6039895      0.4668544E-01
   0.5973695      0.4713429E-01
   0.5907449      0.4757020E-01
   0.5841166      0.4799341E-01
   0.5774854      0.4840407E-01
   0.5708525      0.4880231E-01
   0.5642187      0.4918809E-01
   0.5575842      0.4956133E-01
   0.5509483      0.4992204E-01
   0.5443103      0.5027037E-01
   0.5376702      0.5060654E-01
   0.5310289      0.5093068E-01
   0.5243874      0.5124267E-01
   0.5177463      0.5154239E-01
   0.5111050      0.5182971E-01
   0.5044627      0.5210473E-01
   0.4978192      0.5236753E-01
   0.4911747      0.5261819E-01
   0.4845297      0.5285669E-01
   0.4778842      0.5308303E-01
   0.4712376      0.5329722E-01
   0.4645894      0.5349939E-01
   0.4579393      0.5368973E-01
   0.4512882      0.5386837E-01
   0.4446367      0.5403529E-01
   0.4379849      0.5419044E-01
   0.4313320      0.5433379E-01
   0.4246770      0.5446556E-01
   0.4180192      0.5458603E-01
   0.4113592      0.5469547E-01
   0.4046977      0.5479397E-01
   0.3980353      0.5488154E-01
   0.3913724      0.5495823E-01
   0.3847093      0.5502406E-01
   0.3780460      0.5507909E-01
   0.3713824      0.5512335E-01
   0.3647182      0.5515690E-01
   0.3580534      0.5517978E-01
   0.3513878      0.5519206E-01
   0.3447217      0.5519380E-01
   0.3380552      0.5518503E-01
   0.3313887      0.5516582E-01
   0.3247227      0.5513612E-01
   0.3180572      0.5509587E-01
   0.3113926      0.5504501E-01
   0.3047290      0.5498346E-01
   0.2980661      0.5491118E-01
   0.2914042      0.5482811E-01
   0.2847432      0.5473419E-01
   0.2780833      0.5462938E-01
   0.2714247      0.5451360E-01
   0.2647678      0.5438663E-01
   0.2581139      0.5424820E-01
   0.2514643      0.5409805E-01
   0.2448211      0.5393594E-01
   0.2381867      0.5376139E-01
   0.2315617      0.5357346E-01
   0.2249451      0.5337128E-01
   0.2183376      0.5315434E-01
   0.2117444      0.5292215E-01
   0.2051706      0.5267300E-01
   0.1986161      0.5240454E-01
   0.1920770      0.5211508E-01
   0.1855519      0.5180363E-01
   0.1790430      0.5146914E-01
   0.1725516      0.5111019E-01
   0.1660766      0.5072533E-01
   0.1596177      0.5031374E-01
   0.1531789      0.4987495E-01
   0.1467674      0.4940785E-01
   0.1403919      0.4891096E-01
   0.1340615      0.4838221E-01
   0.1277868      0.4781860E-01
   0.1215793      0.4721711E-01
   0.1154502      0.4657318E-01
   0.1094091      0.4588221E-01
   0.1034645      0.4513890E-01
   0.9762560E-01  0.4433773E-01
   0.9190069E-01  0.4347346E-01
   0.8629160E-01  0.4253808E-01
   0.8078989E-01  0.4152324E-01
   0.7538615E-01  0.4042266E-01
   0.7007334E-01  0.3923169E-01
   0.6484418E-01  0.3794665E-01
   0.5969391E-01  0.3656682E-01
   0.5462954E-01  0.3509711E-01
   0.4967561E-01  0.3355228E-01
   0.4488005E-01  0.3195402E-01
   0.4029649E-01  0.3032230E-01
   0.3597401E-01  0.2867611E-01
   0.3195091E-01  0.2703198E-01
   0.2824922E-01  0.2540464E-01
   0.2487569E-01  0.2380756E-01
   0.2182749E-01  0.2225440E-01
   0.1909367E-01  0.2075735E-01
   0.1665399E-01  0.1932265E-01
   0.1448071E-01  0.1795219E-01
   0.1254778E-01  0.1664483E-01
   0.1083228E-01  0.1539980E-01
   0.9310939E-02  0.1421593E-01
   0.7962115E-02  0.1308911E-01
   0.6765385E-02  0.1201245E-01
   0.5701605E-02  0.1097965E-01
   0.4755336E-02  0.9986728E-02
   0.3914611E-02  0.9030588E-02
   0.3176488E-02  0.8102768E-02
   0.2538656E-02  0.7193156E-02
   0.1991944E-02  0.6299861E-02
   0.1525531E-02  0.5425201E-02
   0.1127610E-02  0.4571683E-02
   0.7878747E-03  0.3741026E-02
   0.5013863E-03  0.2933588E-02
   0.2754098E-03  0.2148267E-02
   0.1168143E-03  0.1385728E-02
   0.2602410E-04  0.6471441E-03
   0.3508354E-06 -0.7425636E-04
   0.4258441E-04 -0.7925565E-03
   0.1715258E-03 -0.1513885E-02
   0.4107862E-03 -0.2231208E-02
   0.7479037E-03 -0.2942867E-02
   0.1155892E-02 -0.3650023E-02
   0.1641725E-02 -0.4336638E-02
   0.2231156E-02 -0.4978953E-02
   0.2933569E-02 -0.5572245E-02
   0.3725675E-02 -0.6138147E-02
   0.4604015E-02 -0.6683672E-02
   0.5575725E-02 -0.7212060E-02
   0.6650334E-02 -0.7728665E-02
   0.7837709E-02 -0.8240904E-02
   0.9152413E-02 -0.8754609E-02
   0.1061403E-01 -0.9275775E-02
   0.1224675E-01 -0.9810212E-02
   0.1408125E-01 -0.1036172E-01
   0.1615375E-01 -0.1093654E-01
   0.1850774E-01 -0.1154343E-01
   0.2119634E-01 -0.1218803E-01
   0.2427626E-01 -0.1287588E-01
   0.2780050E-01 -0.1360980E-01
   0.3180510E-01 -0.1438894E-01
   0.3629326E-01 -0.1520676E-01
   0.4122330E-01 -0.1604817E-01
   0.4652624E-01 -0.1689420E-01
   0.5211630E-01 -0.1772728E-01
   0.5792383E-01 -0.1853194E-01
   0.6389750E-01 -0.1930331E-01
   0.6998994E-01 -0.2003810E-01
   0.7617436E-01 -0.2073604E-01
   0.8243865E-01 -0.2139894E-01
   0.8877422E-01 -0.2203100E-01
   0.9516552E-01 -0.2263590E-01
   0.1015997     -0.2321497E-01
   0.1080720     -0.2377034E-01
   0.1145777     -0.2430450E-01
   0.1211108     -0.2481949E-01
   0.1276652     -0.2531658E-01
   0.1342365     -0.2579701E-01
   0.1408217     -0.2626166E-01
   0.1474188     -0.2671135E-01
   0.1540265     -0.2714687E-01
   0.1606417     -0.2756889E-01
   0.1672610     -0.2797758E-01
   0.1738829     -0.2837275E-01
   0.1805087     -0.2875455E-01
   0.1871391     -0.2912349E-01
   0.1937729     -0.2947995E-01
   0.2004084     -0.2982388E-01
   0.2070453     -0.3015523E-01
   0.2136841     -0.3047409E-01
   0.2203258     -0.3078068E-01
   0.2269714     -0.3107530E-01
   0.2336207     -0.3135840E-01
   0.2402724     -0.3163027E-01
   0.2469257     -0.3189090E-01
   0.2535808     -0.3214034E-01
   0.2602388     -0.3237884E-01
   0.2668999     -0.3260670E-01
   0.2735641     -0.3282419E-01
   0.2802306     -0.3303155E-01
   0.2868982     -0.3322888E-01
   0.2935661     -0.3341612E-01
   0.3002338     -0.3359322E-01
   0.3069016     -0.3376014E-01
   0.3135698     -0.3391690E-01
   0.3202392     -0.3406359E-01
   0.3269100     -0.3420034E-01
   0.3335821     -0.3432728E-01
   0.3402552     -0.3444453E-01
   0.3469287     -0.3455207E-01
   0.3536018     -0.3464981E-01
   0.3602742     -0.3473764E-01
   0.3669455     -0.3481547E-01
