E168  (12.45%)
    1.000000       0.000000    
   0.9963291      0.2209911E-03
   0.9916996      0.5821625E-03
   0.9866191      0.1050094E-02
   0.9811099      0.1595967E-02
   0.9752509      0.2193740E-02
   0.9691390      0.2814585E-02
   0.9628440      0.3433789E-02
   0.9564130      0.4043749E-02
   0.9498822      0.4640855E-02
   0.9432725      0.5223834E-02
   0.9365933      0.5795798E-02
   0.9298544      0.6361597E-02
   0.9230680      0.6926261E-02
   0.9162490      0.7494471E-02
   0.9094123      0.8067349E-02
   0.9025696      0.8644464E-02
   0.8957288      0.9225680E-02
   0.8888936      0.9811193E-02
   0.8820640      0.1040147E-01
   0.8752382      0.1099694E-01
   0.8684145      0.1159800E-01
   0.8615917      0.1220501E-01
   0.8547689      0.1281832E-01
   0.8479454      0.1343823E-01
   0.8411208      0.1406471E-01
   0.8342949      0.1469753E-01
   0.8274674      0.1533647E-01
   0.8206382      0.1598125E-01
   0.8138073      0.1663162E-01
   0.8069746      0.1728732E-01
   0.8001402      0.1794811E-01
   0.7933043      0.1861379E-01
   0.7864669      0.1928416E-01
   0.7796282      0.1995900E-01
   0.7727883      0.2063812E-01
   0.7659472      0.2132131E-01
   0.7591052      0.2200836E-01
   0.7522622      0.2269909E-01
   0.7454182      0.2339336E-01
   0.7385732      0.2409100E-01
   0.7317271      0.2479186E-01
   0.7248794      0.2549582E-01
   0.7180299      0.2620274E-01
   0.7111781      0.2691247E-01
   0.7043237      0.2762476E-01
   0.6974665      0.2833930E-01
   0.6906064      0.2905579E-01
   0.6837436      0.2977389E-01
   0.6768784      0.3049323E-01
   0.6700114      0.3121345E-01
   0.6631433      0.3193416E-01
   0.6562749      0.3265501E-01
   0.6494069      0.3337569E-01
   0.6425398      0.3409592E-01
   0.6356742      0.3481541E-01
   0.6288105      0.3553388E-01
   0.6219487      0.3625108E-01
   0.6150892      0.3696677E-01
   0.6082319      0.3768067E-01
   0.6013768      0.3839250E-01
   0.5945240      0.3910192E-01
   0.5876736      0.3980863E-01
   0.5808256      0.4051232E-01
   0.5739803      0.4121265E-01
   0.5671378      0.4190931E-01
   0.5602984      0.4260196E-01
   0.5534622      0.4329019E-01
   0.5466294      0.4397355E-01
   0.5398002      0.4465160E-01
   0.5329744      0.4532391E-01
   0.5261522      0.4599004E-01
   0.5193332      0.4664959E-01
   0.5125174      0.4730215E-01
   0.5057046      0.4794732E-01
   0.4988944      0.4858476E-01
   0.4920868      0.4921413E-01
   0.4852816      0.4983509E-01
   0.4784790      0.5044727E-01
   0.4716789      0.5105032E-01
   0.4648816      0.5164388E-01
   0.4580874      0.5222758E-01
   0.4512964      0.5280095E-01
   0.4445091      0.5336345E-01
   0.4377258      0.5391451E-01
   0.4309465      0.5445358E-01
   0.4241715      0.5498012E-01
   0.4174010      0.5549358E-01
   0.4106350      0.5599345E-01
   0.4038735      0.5647918E-01
   0.3971168      0.5695015E-01
   0.3903648      0.5740573E-01
   0.3836177      0.5784525E-01
   0.3768757      0.5826809E-01
   0.3701389      0.5867361E-01
   0.3634077      0.5906116E-01
   0.3566822      0.5943012E-01
   0.3499629      0.5977977E-01
   0.3432498      0.6010935E-01
   0.3365434      0.6041808E-01
   0.3298435      0.6070521E-01
   0.3231504      0.6097000E-01
   0.3164638      0.6121170E-01
   0.3097838      0.6142958E-01
   0.3031101      0.6162290E-01
   0.2964429      0.6179093E-01
   0.2897823      0.6193292E-01
