S8035 for RC aerobatic  14% thick
    1.000000       0.000000    
   0.9960913      0.3239599E-03
   0.9913665      0.9675142E-03
   0.9863504      0.1769751E-02
   0.9810255      0.2677098E-02
   0.9754180      0.3632947E-02
   0.9695635      0.4588969E-02
   0.9634889      0.5522083E-02
   0.9572025      0.6425065E-02
   0.9506988      0.7304239E-02
   0.9439892      0.8181367E-02
   0.9371225      0.9067534E-02
   0.9301452      0.9957422E-02
   0.9230815      0.1084817E-01
   0.9159482      0.1173887E-01
   0.9087616      0.1263054E-01
   0.9015354      0.1352666E-01
   0.8942798      0.1442944E-01
   0.8870047      0.1533701E-01
   0.8797217      0.1624725E-01
   0.8724403      0.1716108E-01
   0.8651620      0.1808130E-01
   0.8578815      0.1900973E-01
   0.8505937      0.1994582E-01
   0.8432970      0.2088847E-01
   0.8359925      0.2183643E-01
   0.8286819      0.2278844E-01
   0.8213669      0.2374313E-01
   0.8140494      0.2469880E-01
   0.8067304      0.2565379E-01
   0.7994107      0.2660684E-01
   0.7920910      0.2755756E-01
   0.7847726      0.2850565E-01
   0.7774569      0.2945067E-01
   0.7701445      0.3039202E-01
   0.7628341      0.3132928E-01
   0.7555232      0.3226249E-01
   0.7482104      0.3319241E-01
   0.7408974      0.3411955E-01
   0.7335887      0.3504375E-01
   0.7262887      0.3596321E-01
   0.7189985      0.3687610E-01
   0.7117159      0.3778108E-01
   0.7044370      0.3867808E-01
   0.6971590      0.3956753E-01
   0.6898808      0.4044966E-01
   0.6826028      0.4132449E-01
   0.6753252      0.4219193E-01
   0.6680483      0.4305196E-01
   0.6607717      0.4390459E-01
   0.6534953      0.4474989E-01
   0.6462196      0.4558782E-01
   0.6389464      0.4641826E-01
   0.6316776      0.4724057E-01
   0.6244144      0.4805377E-01
   0.6171573      0.4885700E-01
   0.6099054      0.4964955E-01
   0.6026577      0.5043100E-01
   0.5954133      0.5120097E-01
   0.5881717      0.5195904E-01
   0.5809323      0.5270497E-01
   0.5736942      0.5343871E-01
   0.5664556      0.5416031E-01
   0.5592142      0.5486999E-01
   0.5519684      0.5556846E-01
   0.5447193      0.5625640E-01
   0.5374708      0.5693421E-01
   0.5302284      0.5760121E-01
   0.5229958      0.5825545E-01
   0.5157730      0.5889523E-01
   0.5085562      0.5951932E-01
   0.5013407      0.6012794E-01
   0.4941240      0.6072176E-01
   0.4869071      0.6130117E-01
   0.4796933      0.6186596E-01
   0.4724853      0.6241505E-01
   0.4652827      0.6294745E-01
   0.4580822      0.6346247E-01
   0.4508792      0.6396060E-01
   0.4436721      0.6444298E-01
   0.4364629      0.6491050E-01
   0.4292570      0.6536331E-01
   0.4220599      0.6579982E-01
   0.4148738      0.6621832E-01
   0.4076976      0.6661735E-01
   0.4005284      0.6699617E-01
   0.3933642      0.6735457E-01
   0.3862046      0.6769224E-01
   0.3790510      0.6800868E-01
   0.3719043      0.6830308E-01
   0.3647636      0.6857466E-01
   0.3576262      0.6882274E-01
   0.3504888      0.6904763E-01
   0.3433504      0.6925025E-01
   0.3362130      0.6943143E-01
   0.3290814      0.6959125E-01
   0.3219604      0.6972834E-01
   0.3148542      0.6984127E-01
   0.3077660      0.6992853E-01
   0.3006967      0.6998797E-01
   0.2936445      0.7001727E-01
   0.2866043      0.7001427E-01
   0.2795700      0.6997865E-01
   0.2725382      0.6991140E-01
   0.2655094      0.6981352E-01
   0.2584871      0.6968537E-01
   0.2514757      0.6952661E-01
   0.2444797      0.6933694E-01
   0.2375033      0.6911536E-01
   0.2305505      0.6885978E-01
   0.2236241      0.6856805E-01
   0.2167263      0.6823796E-01
   0.2098568      0.6786695E-01
   0.2030124      0.6745232E-01
   0.1961878      0.6699234E-01
   0.1893810      0.6648738E-01
   0.1825952      0.6593837E-01
   0.1758375      0.6534535E-01
   0.1691137      0.6470679E-01
   0.1624253      0.6402091E-01
   0.1557735      0.6328667E-01
   0.1491654      0.6250436E-01
   0.1426152      0.6167447E-01
   0.1361355      0.6079281E-01
   0.1297273      0.5985264E-01
   0.1233828      0.5884943E-01
   0.1171000      0.5778525E-01
   0.1108896      0.5666464E-01
   0.1047708      0.5549028E-01
   0.9876172E-01  0.5426363E-01
   0.9287863E-01  0.5298600E-01
   0.8713806E-01  0.5165827E-01
   0.8155678E-01  0.5028262E-01
   0.7615144E-01  0.4886127E-01
   0.7093709E-01  0.4739750E-01
   0.6592663E-01  0.4589657E-01
   0.6113237E-01  0.4436618E-01
   0.5656486E-01  0.4281566E-01
   0.5223414E-01  0.4125696E-01
   0.4814994E-01  0.3970357E-01
   0.4431878E-01  0.3816553E-01
   0.4074206E-01  0.3664833E-01
   0.3741404E-01  0.3515620E-01
   0.3432502E-01  0.3369078E-01
   0.3146243E-01  0.3225235E-01
   0.2881132E-01  0.3084132E-01
   0.2635630E-01  0.2945943E-01
   0.2408268E-01  0.2810894E-01
   0.2197629E-01  0.2679149E-01
   0.2002409E-01  0.2550768E-01
   0.1821427E-01  0.2425743E-01
   0.1653563E-01  0.2304046E-01
   0.1497772E-01  0.2185616E-01
   0.1353170E-01  0.2070270E-01
   0.1218929E-01  0.1957779E-01
   0.1094244E-01  0.1847928E-01
   0.9783775E-02  0.1740510E-01
   0.8708647E-02  0.1635256E-01
   0.7713783E-02  0.1531906E-01
   0.6795747E-02  0.1430268E-01
   0.5950960E-02  0.1330200E-01
   0.5175530E-02  0.1231649E-01
   0.4464873E-02  0.1134644E-01
   0.3814225E-02  0.1039139E-01
   0.3219031E-02  0.9450256E-02
   0.2675158E-02  0.8521618E-02
   0.2180249E-02  0.7603755E-02
   0.1734386E-02  0.6695975E-02
   0.1338141E-02  0.5799360E-02
   0.9918702E-03  0.4916182E-02
   0.6953322E-03  0.4049350E-02
   0.4491902E-03  0.3202466E-02
   0.2555404E-03  0.2377453E-02
   0.1153095E-03  0.1572194E-02
   0.2942893E-04  0.7819176E-03
   0.4314083E-30  0.2217562E-15
   0.2942893E-04 -0.7819176E-03
   0.1153095E-03 -0.1572194E-02
   0.2555404E-03 -0.2377453E-02
   0.4491902E-03 -0.3202466E-02
   0.6953322E-03 -0.4049350E-02
   0.9918702E-03 -0.4916182E-02
   0.1338141E-02 -0.5799360E-02
   0.1734386E-02 -0.6695975E-02
   0.2180249E-02 -0.7603755E-02
   0.2675158E-02 -0.8521618E-02
   0.3219031E-02 -0.9450256E-02
   0.3814225E-02 -0.1039139E-01
   0.4464873E-02 -0.1134644E-01
   0.5175530E-02 -0.1231649E-01
   0.5950960E-02 -0.1330200E-01
   0.6795747E-02 -0.1430268E-01
   0.7713783E-02 -0.1531906E-01
   0.8708647E-02 -0.1635256E-01
   0.9783775E-02 -0.1740510E-01
   0.1094244E-01 -0.1847928E-01
   0.1218929E-01 -0.1957779E-01
   0.1353170E-01 -0.2070270E-01
   0.1497772E-01 -0.2185616E-01
   0.1653563E-01 -0.2304046E-01
   0.1821427E-01 -0.2425743E-01
   0.2002409E-01 -0.2550768E-01
   0.2197629E-01 -0.2679149E-01
   0.2408268E-01 -0.2810894E-01
   0.2635630E-01 -0.2945943E-01
   0.2881132E-01 -0.3084132E-01
   0.3146243E-01 -0.3225235E-01
   0.3432502E-01 -0.3369078E-01
   0.3741404E-01 -0.3515620E-01
   0.4074206E-01 -0.3664833E-01
   0.4431878E-01 -0.3816553E-01
   0.4814994E-01 -0.3970357E-01
   0.5223414E-01 -0.4125696E-01
   0.5656486E-01 -0.4281566E-01
   0.6113237E-01 -0.4436618E-01
   0.6592663E-01 -0.4589657E-01
   0.7093709E-01 -0.4739750E-01
   0.7615144E-01 -0.4886127E-01
   0.8155678E-01 -0.5028262E-01
   0.8713806E-01 -0.5165827E-01
   0.9287863E-01 -0.5298600E-01
   0.9876172E-01 -0.5426363E-01
   0.1047708     -0.5549028E-01
   0.1108896     -0.5666464E-01
   0.1171000     -0.5778525E-01
   0.1233828     -0.5884943E-01
   0.1297273     -0.5985264E-01
   0.1361355     -0.6079281E-01
   0.1426152     -0.6167447E-01
   0.1491654     -0.6250436E-01
   0.1557735     -0.6328667E-01
   0.1624253     -0.6402091E-01
   0.1691137     -0.6470679E-01
   0.1758375     -0.6534535E-01
   0.1825952     -0.6593837E-01
   0.1893810     -0.6648738E-01
   0.1961878     -0.6699234E-01
   0.2030124     -0.6745232E-01
   0.2098568     -0.6786695E-01
   0.2167263     -0.6823796E-01
   0.2236241     -0.6856805E-01
   0.2305505     -0.6885978E-01
   0.2375033     -0.6911536E-01
   0.2444797     -0.6933694E-01
   0.2514757     -0.6952661E-01
   0.2584871     -0.6968537E-01
   0.2655094     -0.6981352E-01
   0.2725382     -0.6991140E-01
   0.2795700     -0.6997865E-01
   0.2866043     -0.7001427E-01
   0.2936445     -0.7001727E-01
   0.3006967     -0.6998797E-01
   0.3077660     -0.6992853E-01
   0.3148542     -0.6984127E-01
   0.3219604     -0.6972834E-01
   0.3290814     -0.6959125E-01
   0.3362130     -0.6943143E-01
   0.3433504     -0.6925025E-01
   0.3504888     -0.6904763E-01
   0.3576262     -0.6882274E-01
   0.3647636     -0.6857466E-01
   0.3719043     -0.6830308E-01
   0.3790510     -0.6800868E-01
   0.3862046     -0.6769224E-01
   0.3933642     -0.6735457E-01
   0.4005284     -0.6699617E-01
   0.4076976     -0.6661735E-01
   0.4148738     -0.6621832E-01
   0.4220599     -0.6579982E-01
   0.4292570     -0.6536331E-01
   0.4364629     -0.6491050E-01
   0.4436721     -0.6444298E-01
   0.4508792     -0.6396060E-01
   0.4580822     -0.6346247E-01
   0.4652827     -0.6294745E-01
   0.4724853     -0.6241505E-01
   0.4796933     -0.6186596E-01
   0.4869071     -0.6130117E-01
   0.4941240     -0.6072176E-01
   0.5013407     -0.6012794E-01
   0.5085562     -0.5951932E-01
   0.5157730     -0.5889523E-01
   0.5229958     -0.5825545E-01
   0.5302284     -0.5760121E-01
   0.5374708     -0.5693421E-01
   0.5447193     -0.5625640E-01
   0.5519684     -0.5556846E-01
   0.5592142     -0.5486999E-01
   0.5664556     -0.5416031E-01
   0.5736942     -0.5343871E-01
   0.5809323     -0.5270497E-01
   0.5881717     -0.5195904E-01
   0.5954133     -0.5120097E-01
   0.6026577     -0.5043100E-01
   0.6099054     -0.4964955E-01
   0.6171573     -0.4885700E-01
   0.6244144     -0.4805377E-01
   0.6316776     -0.4724057E-01
   0.6389464     -0.4641826E-01
   0.6462196     -0.4558782E-01
   0.6534953     -0.4474989E-01
   0.6607717     -0.4390459E-01
   0.6680483     -0.4305196E-01
   0.6753252     -0.4219193E-01
   0.6826028     -0.4132449E-01
   0.6898808     -0.4044966E-01
   0.6971590     -0.3956753E-01
   0.7044370     -0.3867808E-01
   0.7117159     -0.3778108E-01
   0.7189985     -0.3687610E-01
   0.7262887     -0.3596321E-01
   0.7335887     -0.3504375E-01
   0.7408974     -0.3411955E-01
   0.7482104     -0.3319241E-01
   0.7555232     -0.3226249E-01
   0.7628341     -0.3132928E-01
   0.7701445     -0.3039202E-01
   0.7774569     -0.2945067E-01
   0.7847726     -0.2850565E-01
   0.7920910     -0.2755756E-01
   0.7994107     -0.2660684E-01
   0.8067304     -0.2565379E-01
   0.8140494     -0.2469880E-01
   0.8213669     -0.2374313E-01
   0.8286819     -0.2278844E-01
   0.8359925     -0.2183643E-01
   0.8432970     -0.2088847E-01
   0.8505937     -0.1994582E-01
   0.8578815     -0.1900973E-01
   0.8651620     -0.1808130E-01
   0.8724403     -0.1716108E-01
   0.8797217     -0.1624725E-01
   0.8870047     -0.1533701E-01
   0.8942798     -0.1442944E-01
   0.9015354     -0.1352666E-01
   0.9087616     -0.1263054E-01
   0.9159482     -0.1173887E-01
   0.9230815     -0.1084817E-01
   0.9301452     -0.9957422E-02
   0.9371225     -0.9067534E-02
   0.9439892     -0.8181367E-02
   0.9506988     -0.7304239E-02
   0.9572025     -0.6425065E-02
   0.9634889     -0.5522083E-02
   0.9695635     -0.4588969E-02
   0.9754180     -0.3632947E-02
   0.9810255     -0.2677098E-02
   0.9863504     -0.1769751E-02
   0.9913665     -0.9675142E-03
   0.9960913     -0.3239599E-03
    1.000000       0.000000    
